split,task,method,projection_dimension,projection_seed,decay,decision_units,sequences,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
calibration,all,diagonal_rms_ema,32,31415,0.95,360,8,0.37395388855582457,0.6129730273752012,0.13055555555555556,0.29961591576572777,0.010869565217391255,0.0065116747181964574,-0.002777777777777778,0.010060687903328102
calibration,all,diagonal_rms_ema,32,271828,0.95,360,8,0.3860869565217391,0.6126811594202899,0.1388888888888889,0.2959543296087435,-0.0017391304347825834,0.0016807568438003215,0.013888888888888888,-0.00537553597281176
calibration,all,diagonal_rms_ema,64,42,0.95,360,8,0.3813043478260869,0.6146739130434783,0.1361111111111111,0.29950119673583203,0.014347826086956506,0.008242753623188406,0.011111111111111112,-0.0028226104558916254
calibration,all,diagonal_rms_ema,64,31415,0.95,360,8,0.38852038235580283,0.6156199677938808,0.1111111111111111,0.3086561541741702,0.004782608695652196,0.0016304347826087001,-0.016666666666666666,-0.0016434123763315915
calibration,all,diagonal_rms_ema,64,271828,0.95,360,8,0.39173913043478253,0.614633655394525,0.1388888888888889,0.2949627422302934,0.0008697543149726317,0.0005233494363929102,0.011111111111111112,-0.0023666820421516985
calibration,all,diagonal_rms_ema,128,42,0.95,360,8,0.38612884163600003,0.6178341384863123,0.13055555555555556,0.2905308880394119,0.008260869565217377,0.006652576489533014,-0.002777777777777778,0.0014439843804328945
calibration,all,diagonal_rms_ema,128,31415,0.95,360,8,0.40391304347826085,0.6173510466988728,0.11944444444444445,0.2975080616267331,0.008697543149726143,0.004146537842190017,-0.008333333333333333,0.0013411696294242893
calibration,all,diagonal_rms_ema,128,271828,0.95,360,8,0.40956521739130425,0.618065619967794,0.13055555555555556,0.300260919857137,0.005217391304347813,0.0019524959742351078,-0.011111111111111112,-0.005132270846688226
calibration,all,diagonal_rms_innovation,32,42,0.95,360,8,0.34739130434782606,0.6076590177133655,0.09166666666666666,0.3078689817671413,0.00043487715748630196,0.004770531400966182,-0.03611111111111111,-0.019517885244317586
calibration,all,diagonal_rms_innovation,32,31415,0.95,360,8,0.3595652173913043,0.6097926731078904,0.11944444444444445,0.31198137917248703,0.009999999999999926,0.00333132045088567,-0.013888888888888888,-0.0023047755034311767
calibration,all,diagonal_rms_innovation,32,271828,0.95,360,8,0.38547680954614255,0.6126006441223834,0.125,0.2940935277053747,0.0013043478260869462,0.0016002415458937205,0.0,-0.003514734069443029
calibration,all,diagonal_rms_innovation,64,42,0.95,360,8,0.3860869565217391,0.6157206119162641,0.125,0.30661731438872947,0.009565217391304337,0.009289452495974234,0.0,-0.009938728108789095
calibration,all,diagonal_rms_innovation,64,31415,0.95,360,8,0.37347826086956515,0.6131843800322061,0.13333333333333333,0.2971711780050578,-0.002173913043478262,-0.0008051529790660198,0.005555555555555556,0.009841563792780766
calibration,all,diagonal_rms_innovation,64,271828,0.95,360,8,0.38391304347826083,0.6150161030595813,0.10555555555555556,0.30202023052587584,0.004348298830909786,0.0009057971014492707,-0.022222222222222223,-0.009424170337734203
calibration,all,diagonal_rms_innovation,128,42,0.95,360,8,0.3759104575693503,0.6166867954911434,0.11666666666666667,0.30224876619993346,0.010000000000000049,0.005505233494363929,-0.016666666666666666,-0.010273893780088632
calibration,all,diagonal_rms_innovation,128,31415,0.95,360,8,0.39739130434782605,0.6164351851851853,0.13333333333333333,0.29383345282237255,0.003913421673423567,0.0032306763285024145,0.005555555555555556,0.005015778433784806
calibration,all,diagonal_rms_innovation,128,271828,0.95,360,8,0.41130434782608694,0.619243156199678,0.12777777777777777,0.298653403077603,0.008695652173912993,0.003130032206119166,-0.013888888888888888,-0.0035247540671542775
calibration,all,diagonal_rms_repeated,32,42,0.95,360,8,0.3069565217391304,0.5968900966183575,0.1,0.30579568346530805,-0.004347826086956497,-0.005998389694041867,-0.027777777777777776,-0.01744458694248435
calibration,all,diagonal_rms_repeated,32,31415,0.95,360,8,0.36503975776647113,0.6070148953301127,0.1111111111111111,0.3128036936653663,-0.0017393195323638921,0.000553542673107888,-0.022222222222222223,-0.0031270899963104478
calibration,all,diagonal_rms_repeated,32,271828,0.95,360,8,0.37547548586307333,0.6064210950080515,0.10833333333333334,0.32137259447914135,-0.010870699802879177,-0.004579307568438004,-0.016666666666666666,-0.030793800843209634
calibration,all,diagonal_rms_repeated,64,42,0.95,360,8,0.36217391304347823,0.6047906602254429,0.10277777777777777,0.3074026487567774,0.0017391304347825366,-0.001640499194847022,-0.022222222222222223,-0.010724062476836977
