sample_id,sample_cluster,task,anchor,future_step,global_generation_index,strategy,target_horizon,layer,head,attention_output_relative_error,delta_nll,approx_kl
gov_report:0,gov_report::gov_report:0,gov_report,0,16,15,attention_weighted_v_ridge_leverage,64,27,0,0.16033008694648743,2.0560292490756638e-05,9.418933826185751e-06
gov_report:0,gov_report::gov_report:0,gov_report,0,16,15,attention_weighted_v_ridge_leverage,64,27,11,0.33956876397132874,2.0560292490756638e-05,9.418933826185751e-06
gov_report:0,gov_report::gov_report:0,gov_report,0,17,16,attention_weighted_v_ridge_leverage,64,0,0,0.1447974592447281,0.0012080717129805407,0.0003508363663745573
gov_report:0,gov_report::gov_report:0,gov_report,0,17,16,attention_weighted_v_ridge_leverage,64,0,11,0.08241058140993118,0.0012080717129805407,0.0003508363663745573
gov_report:0,gov_report::gov_report:0,gov_report,0,17,16,attention_weighted_v_ridge_leverage,64,14,0,0.5277019143104553,0.0012080717129805407,0.0003508363663745573
gov_report:0,gov_report::gov_report:0,gov_report,0,17,16,attention_weighted_v_ridge_leverage,64,14,11,0.6482823491096497,0.0012080717129805407,0.0003508363663745573
gov_report:0,gov_report::gov_report:0,gov_report,0,17,16,attention_weighted_v_ridge_leverage,64,27,0,0.23009315133094788,0.0012080717129805407,0.0003508363663745573
gov_report:0,gov_report::gov_report:0,gov_report,0,17,16,attention_weighted_v_ridge_leverage,64,27,11,0.3039233982563019,0.0012080717129805407,0.0003508363663745573
gov_report:0,gov_report::gov_report:0,gov_report,0,18,17,attention_weighted_v_ridge_leverage,64,0,0,0.12420276552438736,0.00028584644460138975,0.0001075742705288706
gov_report:0,gov_report::gov_report:0,gov_report,0,18,17,attention_weighted_v_ridge_leverage,64,0,11,0.12502720952033997,0.00028584644460138975,0.0001075742705288706
gov_report:0,gov_report::gov_report:0,gov_report,0,18,17,attention_weighted_v_ridge_leverage,64,14,0,0.3057252764701843,0.00028584644460138975,0.0001075742705288706
gov_report:0,gov_report::gov_report:0,gov_report,0,18,17,attention_weighted_v_ridge_leverage,64,14,11,0.8026401996612549,0.00028584644460138975,0.0001075742705288706
gov_report:0,gov_report::gov_report:0,gov_report,0,18,17,attention_weighted_v_ridge_leverage,64,27,0,0.15778973698616028,0.00028584644460138975,0.0001075742705288706
gov_report:0,gov_report::gov_report:0,gov_report,0,18,17,attention_weighted_v_ridge_leverage,64,27,11,0.2789406478404999,0.00028584644460138975,0.0001075742705288706
gov_report:0,gov_report::gov_report:0,gov_report,0,19,18,attention_weighted_v_ridge_leverage,64,0,0,0.09147316217422485,-0.00036503476220417497,0.0006284400804101011
gov_report:0,gov_report::gov_report:0,gov_report,0,19,18,attention_weighted_v_ridge_leverage,64,0,11,0.0702984631061554,-0.00036503476220417497,0.0006284400804101011
gov_report:0,gov_report::gov_report:0,gov_report,0,19,18,attention_weighted_v_ridge_leverage,64,14,0,0.34727826714515686,-0.00036503476220417497,0.0006284400804101011
gov_report:0,gov_report::gov_report:0,gov_report,0,19,18,attention_weighted_v_ridge_leverage,64,14,11,0.5381285548210144,-0.00036503476220417497,0.0006284400804101011
gov_report:0,gov_report::gov_report:0,gov_report,0,19,18,attention_weighted_v_ridge_leverage,64,27,0,0.1699395626783371,-0.00036503476220417497,0.0006284400804101011
gov_report:0,gov_report::gov_report:0,gov_report,0,19,18,attention_weighted_v_ridge_leverage,64,27,11,0.3293730914592743,-0.00036503476220417497,0.0006284400804101011
gov_report:0,gov_report::gov_report:0,gov_report,0,20,19,attention_weighted_v_ridge_leverage,64,0,0,0.14525771141052246,-0.0003742629092684524,0.0003512290566720426
gov_report:0,gov_report::gov_report:0,gov_report,0,20,19,attention_weighted_v_ridge_leverage,64,0,11,0.05886048823595047,-0.0003742629092684524,0.0003512290566720426
gov_report:0,gov_report::gov_report:0,gov_report,0,20,19,attention_weighted_v_ridge_leverage,64,14,0,0.3742763102054596,-0.0003742629092684524,0.0003512290566720426
gov_report:0,gov_report::gov_report:0,gov_report,0,20,19,attention_weighted_v_ridge_leverage,64,14,11,0.42170286178588867,-0.0003742629092684524,0.0003512290566720426
gov_report:0,gov_report::gov_report:0,gov_report,0,20,19,attention_weighted_v_ridge_leverage,64,27,0,0.23303517699241638,-0.0003742629092684524,0.0003512290566720426
gov_report:0,gov_report::gov_report:0,gov_report,0,20,19,attention_weighted_v_ridge_leverage,64,27,11,0.2812754213809967,-0.0003742629092684524,0.0003512290566720426
gov_report:0,gov_report::gov_report:0,gov_report,0,21,20,attention_weighted_v_ridge_leverage,64,0,0,0.09638440608978271,-0.00036111094923896303,0.0005014857491751967
gov_report:0,gov_report::gov_report:0,gov_report,0,21,20,attention_weighted_v_ridge_leverage,64,0,11,0.1140417754650116,-0.00036111094923896303,0.0005014857491751967
gov_report:0,gov_report::gov_report:0,gov_report,0,21,20,attention_weighted_v_ridge_leverage,64,14,0,0.30066433548927307,-0.00036111094923896303,0.0005014857491751967
gov_report:0,gov_report::gov_report:0,gov_report,0,21,20,attention_weighted_v_ridge_leverage,64,14,11,0.5817381143569946,-0.00036111094923896303,0.0005014857491751967
gov_report:0,gov_report::gov_report:0,gov_report,0,21,20,attention_weighted_v_ridge_leverage,64,27,0,0.21661441028118134,-0.00036111094923896303,0.0005014857491751967
gov_report:0,gov_report::gov_report:0,gov_report,0,21,20,attention_weighted_v_ridge_leverage,64,27,11,0.2882021367549896,-0.00036111094923896303,0.0005014857491751967
gov_report:0,gov_report::gov_report:0,gov_report,0,22,21,attention_weighted_v_ridge_leverage,64,0,0,0.11244749277830124,0.9382423725226232,0.45039043137763235
gov_report:0,gov_report::gov_report:0,gov_report,0,22,21,attention_weighted_v_ridge_leverage,64,0,11,0.09715931862592697,0.9382423725226232,0.45039043137763235
gov_report:0,gov_report::gov_report:0,gov_report,0,22,21,attention_weighted_v_ridge_leverage,64,14,0,0.37242478132247925,0.9382423725226232,0.45039043137763235
