policy,feature,label,n,n_positive,spearman,rank_auc,precision_at_0.05,benefit_alerted_at_0.05,benefit_nonalerted_at_0.05,benefit_lift_at_0.05,precision_at_0.1,benefit_alerted_at_0.1,benefit_nonalerted_at_0.1,benefit_lift_at_0.1,precision_at_0.25,benefit_alerted_at_0.25,benefit_nonalerted_at_0.25,benefit_lift_at_0.25
b2_uniform,churn_jaccard_mean,any_benefit,252,119,0.008242904082174459,0.5037593984962405,0.6153846153846154,0.003756804922144592,0.0005502858402917315,0.0032065190818528605,0.6,0.002410594773218406,0.0005290392532473277,0.0018815555199710782,0.47619047619047616,-0.0025185643657705285,0.0017937901315404595,-0.004312354497310988
b2_uniform,churn_jaccard_min,tail_event,252,6,0.008242904082174459,0.5020325203252033,0.0,0.003756804922144592,0.0005502858402917315,0.0032065190818528605,0.0,0.002410594773218406,0.0005290392532473277,0.0018815555199710782,0.0,-0.0025185643657705285,0.0017937901315404595,-0.004312354497310988
b2_uniform,churn_jaccard_min,any_benefit,252,119,0.008242904082174459,0.5037593984962405,0.6153846153846154,0.003756804922144592,0.0005502858402917315,0.0032065190818528605,0.6,0.002410594773218406,0.0005290392532473277,0.0018815555199710782,0.47619047619047616,-0.0025185643657705285,0.0017937901315404595,-0.004312354497310988
b2_uniform,churn_jaccard_max,tail_event,252,6,,0.5,0.0,0.003756804922144592,0.0005502858402917315,0.0032065190818528605,0.0,0.002410594773218406,0.0005290392532473277,0.0018815555199710782,0.0,-0.0025185643657705285,0.0017937901315404595,-0.004312354497310988
b2_uniform,churn_jaccard_max,any_benefit,252,119,,0.5,0.6153846153846154,0.003756804922144592,0.0005502858402917315,0.0032065190818528605,0.6,0.002410594773218406,0.0005290392532473277,0.0018815555199710782,0.47619047619047616,-0.0025185643657705285,0.0017937901315404595,-0.004312354497310988
b2_uniform,score_tv_mean,tail_event,252,6,0.03516969202054946,0.6822493224932249,0.07692307692307693,-0.0006344896248512336,0.0007891428658605423,-0.0014236324907117759,0.08,0.0023449251098895552,0.000536271595023633,0.0018086535148659224,0.031746031746031744,-0.00024721739164639364,0.001036674473499081,-0.0012838918651454747
b2_uniform,score_tv_mean,any_benefit,252,119,0.03516969202054946,0.5272003538257408,0.6153846153846154,-0.0006344896248512336,0.0007891428658605423,-0.0014236324907117759,0.56,0.0023449251098895552,0.000536271595023633,0.0018086535148659224,0.49206349206349204,-0.00024721739164639364,0.001036674473499081,-0.0012838918651454747
b2_uniform,boundary_margin_mean,tail_event,256,6,-0.035320645672417265,0.514,0.0,-2.0232783139075326e-05,0.0007432913827095123,-0.0007635241658485876,0.0,-0.001210835469716791,0.0009210369653488703,-0.0021318724350656614,0.0,-0.005303279310072398,0.002707117998240818,-0.008010397308313216
b2_uniform,boundary_margin_mean,any_benefit,256,119,-0.035320645672417265,0.48659755873152183,0.6153846153846154,-2.0232783139075326e-05,0.0007432913827095123,-0.0007635241658485876,0.46153846153846156,-0.001210835469716791,0.0009210369653488703,-0.0021318724350656614,0.40625,-0.005303279310072398,0.002707117998240818,-0.008010397308313216
b2_uniform,coverage_mass_mean,tail_event,256,6,-0.025213194547552872,0.39666666666666667,0.0,-0.002563556478019392,0.0008793539672092824,-0.0034429104452286747,0.0,-0.001461159474533937,0.0009493344615455908,-0.002410493936079528,0.015625,-0.0021103685283219405,0.0016428144043239984,-0.0037531829326459386
b2_uniform,coverage_mass_mean,any_benefit,256,119,-0.025213194547552872,0.5083113537385757,0.5384615384615384,-0.002563556478019392,0.0008793539672092824,-0.0034429104452286747,0.5,-0.001461159474533937,0.0009493344615455908,-0.002410493936079528,0.5,-0.0021103685283219405,0.0016428144043239984,-0.0037531829326459386
b2_uniform,stale_action_l1_lag4,tail_event,256,6,-0.006412772209560017,0.51,0.0,0.003756804922144592,0.0005412276371593573,0.0032155772849852345,0.0,0.0026490971559948767,0.0004846967554858119,0.0021644004005090646,0.0,-0.002479213899966054,0.001765762861538703,-0.004244976761504757
b2_uniform,stale_action_l1_lag4,any_benefit,256,119,-0.006412772209560017,0.5182481751824818,0.6153846153846154,0.003756804922144592,0.0005412276371593573,0.0032155772849852345,0.6153846153846154,0.0026490971559948767,0.0004846967554858119,0.0021644004005090646,0.46875,-0.002479213899966054,0.001765762861538703,-0.004244976761504757
b2_uniform,stale_action_l1_lag16,tail_event,256,6,-0.006412772209560017,0.51,0.0,0.003756804922144592,0.0005412276371593573,0.0032155772849852345,0.0,0.0026490971559948767,0.0004846967554858119,0.0021644004005090646,0.0,-0.002479213899966054,0.001765762861538703,-0.004244976761504757
b2_uniform,stale_action_l1_lag16,any_benefit,256,119,-0.006412772209560017,0.5182481751824818,0.6153846153846154,0.003756804922144592,0.0005412276371593573,0.0032155772849852345,0.6153846153846154,0.0026490971559948767,0.0004846967554858119,0.0021644004005090646,0.46875,-0.002479213899966054,0.001765762861538703,-0.004244976761504757
