sample_id,sample_cluster,task,anchor,strategy,layer,lag,top_core_jaccard,selection_boundary_margin_anchor,selection_boundary_margin_future,selected_core_retention,selected_core_turnover,selected_core_replacements_estimate,sink_jaccard,recent_jaccard,whole_cache_jaccard,set_scope,unavailable_metrics
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,14,8,0.9555555555555556,4.4912099838256836e-05,0.0001125335693359375,0.9772727272727273,0.022727272727272707,4.999999999999996,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,14,16,0.9469026548672567,4.4912099838256836e-05,0.00022147595882415771,0.9727272727272728,0.027272727272727226,5.999999999999989,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,14,32,0.896551724137931,4.4912099838256836e-05,0.001031041145324707,0.9454545454545454,0.054545454545454564,12.000000000000004,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,14,64,0.8565400843881856,4.4912099838256836e-05,0.0011363178491592407,0.9227272727272727,0.07727272727272727,17.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,1,1.0,0.0008442103862762451,0.0007834732532501221,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,4,1.0,0.0008442103862762451,0.0006995201110839844,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,8,1.0,0.0008442103862762451,0.0005539953708648682,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,16,0.9909502262443439,0.0008442103862762451,0.00047825276851654053,0.9954545454545455,0.004545454545454519,0.9999999999999942,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,32,0.9909502262443439,0.0008442103862762451,0.0031453967094421387,0.9954545454545455,0.004545454545454519,0.9999999999999942,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,27,64,0.9909502262443439,0.0008442103862762451,0.0025183409452438354,0.9954545454545455,0.004545454545454519,0.9999999999999942,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,16,0.8803418803418803,0.0,0.0,0.9363636363636364,0.0636363636363636,13.999999999999993,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,32,0.8884120171673819,0.0,0.0,0.9409090909090909,0.05909090909090908,12.999999999999998,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,0,64,0.5492957746478874,0.0,0.0022818148136138916,0.7090909090909091,0.2909090909090909,64.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,4,0.9555555555555556,0.0,0.0,0.9772727272727273,0.022727272727272707,4.999999999999996,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,8,0.8257261410788381,0.0,0.0,0.9045454545454545,0.09545454545454546,21.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,16,0.8181818181818182,0.0,0.0,0.9,0.09999999999999998,21.999999999999996,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,32,0.4426229508196721,0.0,0.0,0.6136363636363636,0.38636363636363635,85.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,14,64,0.2903225806451613,0.0,0.0,0.45000000000000007,0.5499999999999999,120.99999999999999,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,4,0.6923076923076923,0.0,0.0,0.8181818181818181,0.18181818181818188,40.000000000000014,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,8,0.5172413793103449,0.0,0.0,0.6818181818181819,0.3181818181818181,69.99999999999999,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,16,0.5068493150684932,0.0,0.0,0.6727272727272727,0.32727272727272727,72.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,32,0.47157190635451507,0.0,0.0,0.640909090909091,0.359090909090909,78.99999999999999,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,snapkv,27,64,0.5547703180212014,0.0,0.0,0.7136363636363636,0.2863636363636364,63.0,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,0,1,0.9909502262443439,0.0003306567668914795,0.00044208765029907227,0.9954545454545455,0.004545454545454519,0.9999999999999942,1.0,,,selected_core_old_token_universe,token-identities-entering-or-leaving;recent-jaccard;whole-cache-jaccard;new-token-entry;rank-reversal
