sample_id,sample_cluster,task,anchor,strategy,layer,head,lag,x_value,y_value,relationship,x_metric,y_metric
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,14.0,,16.0,8.35576344115907e-07,0.027915666696840178,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,14.0,,32.0,8.805665174804744e-07,0.04320605935830068,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,14.0,,64.0,9.07704475139326e-07,0.07050383171661367,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,27.0,,1.0,9.55572033944918e-07,0.01593925183744861,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,27.0,,4.0,8.335878476373182e-07,0.022626265481187416,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,27.0,,8.0,9.967306766611728e-07,0.02969601135921403,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,27.0,,16.0,9.093947710425709e-07,0.04276380209215193,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,27.0,,32.0,1.0011962672251684e-06,0.059275925664949485,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,16,v_ridge_leverage,27.0,,64.0,1.0087305213346554e-06,0.08073213035903075,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,0.0,,1.0,8.269060458587774e-07,0.001963067099944564,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,0.0,,4.0,9.229268300714466e-07,0.005920023952065295,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,0.0,,8.0,8.671951547967183e-07,0.011574344878915281,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,0.0,,16.0,8.556942816539959e-07,0.02709189257700832,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,0.0,,32.0,8.843068997066439e-07,0.04278876539180694,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,0.0,,64.0,8.646012474855524e-07,0.06576114547447931,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,14.0,,1.0,7.738995293493645e-07,0.005990155316918597,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,14.0,,4.0,7.957037269079592e-07,0.013564469800779272,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,14.0,,8.0,9.062950709903816e-07,0.02816632158765608,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,14.0,,16.0,9.864574508355872e-07,0.05382856230587461,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,14.0,,32.0,8.254982617472706e-07,0.06711135197709313,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,14.0,,64.0,8.861804019488773e-07,0.10542906587134614,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,27.0,,1.0,8.885583895335003e-07,0.0017265130345600164,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,27.0,,4.0,8.681291490120202e-07,0.0039622591226182585,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,27.0,,8.0,9.423733331459516e-07,0.008458778446325884,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,27.0,,16.0,8.832678020098683e-07,0.022633777660672094,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,27.0,,32.0,9.810406709220842e-07,0.027170884527036435,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,attention_weighted_v_ridge_leverage,27.0,,64.0,8.935568303058972e-07,0.04599029925280379,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,0.0,,1.0,0.0002857180224964395,0.036177106729412,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,0.0,,4.0,0.22983727604150772,0.1883541946552375,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,0.0,,8.0,0.3095293492078781,0.3478675537288799,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,0.0,,16.0,0.27929575741291046,0.5580706218612398,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,0.0,,32.0,0.00024678131012478843,0.857597009948751,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,0.0,,64.0,0.34218600392341614,0.8859874830022355,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,14.0,,1.0,9.274103263123834e-07,0.006085406798171648,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,14.0,,4.0,8.817511911729525e-07,0.02212706713561221,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,14.0,,8.0,8.97897166396433e-07,0.0754310340131881,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,14.0,,16.0,8.771285990860633e-07,0.13242347713583816,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,14.0,,32.0,8.302318690311949e-07,0.13294722188373925,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,14.0,,64.0,9.273033469980874e-07,0.14785934028939596,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,27.0,,1.0,9.137285417182284e-07,0.054661177992011846,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,27.0,,4.0,9.396646873938153e-07,0.08549239858554745,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,27.0,,8.0,9.594923540134914e-07,0.17697264638321622,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
gov_report:0,gov_report::gov_report:0,gov_report,48,snapkv,27.0,,16.0,8.428057753917528e-07,0.2977001455436415,selected-core residual -> score instability,future_new_token_residual,score_relative_l2_change
