sample_id,cycle,layer,pool,mass_k28,mass_k92,mass_k156,mass_k220,mass_k284
gov_report:86,59,19,970,0.7155818028520701,0.8761312524853446,0.9344986011628246,0.9598160710315571,0.9727380743101
gov_report:86,59,20,970,0.725561300492663,0.8976508073072038,0.9492176245061251,0.9700191330093005,0.9805993998181163
gov_report:86,59,21,970,0.7417327663885859,0.9025279220498933,0.9543333705948824,0.9750150166151198,0.9845339932053275
gov_report:86,59,22,970,0.7849211014595423,0.9053656353103947,0.9486370336772592,0.9664281846089531,0.9763651984768148
gov_report:86,59,23,970,0.7798783536018256,0.9234893771948209,0.9587343617088817,0.9744198318279439,0.9831657148243848
gov_report:86,59,24,970,0.7413317636855449,0.89818493768474,0.9445668499066273,0.9685634713522121,0.9805432120625732
gov_report:86,59,25,970,0.9015287136801472,0.9562299146711761,0.9738995033725474,0.9823013546637164,0.987403968782429
gov_report:86,59,26,970,0.858618361902773,0.9381219125525954,0.9620329529745939,0.9755716680832348,0.9829108147636201
gov_report:86,59,27,970,0.8547057749517537,0.9284947272712889,0.9568748402836446,0.9718864495571259,0.9808273588474111
gov_report:86,59,28,970,0.8739215990282585,0.9448380440740064,0.9663675533149322,0.9773407030312606,0.9841235770751964
gov_report:86,59,29,970,0.8499742602816979,0.9310046440039681,0.9611688878297513,0.9749571288165023,0.9832231386480084
gov_report:86,59,30,970,0.8846593146482178,0.9508352911662972,0.9715243488640859,0.980587268113453,0.9858117045775157
gov_report:86,59,31,970,0.8675600263249506,0.9437937197289141,0.9681056802623457,0.9796561883746119,0.9862730805778875
gov_report:86,59,32,970,0.9142768734153284,0.9638455021021046,0.9802517512982557,0.98664459481003,0.990497725097148
gov_report:86,59,33,970,0.8632526124416157,0.9379835441687917,0.9630439303794841,0.9755724436466306,0.9831982280582391
gov_report:86,59,34,970,0.8622647056126876,0.9410163552209764,0.9662845146494353,0.977855179248229,0.9841775133571606
gov_report:86,59,35,970,0.8345615157645316,0.9030600405091663,0.923644839733688,0.9374526096347995,0.9485174150778636
gov_report:86,60,0,971,0.6438474836336264,0.7811053971586546,0.8410072306253595,0.8773533674844879,0.9036273249222815
gov_report:86,60,1,971,0.407495804183797,0.6499929826914252,0.7615136004158108,0.8158280296786454,0.8517495799340503
gov_report:86,60,2,971,0.5797538852501923,0.7853504151964574,0.8356853525256182,0.8676126835302478,0.8916001935106378
gov_report:86,60,3,971,0.6910918728407944,0.8565998283164606,0.8980987829764498,0.921474144299487,0.9380850023538266
gov_report:86,60,4,971,0.6832899873823305,0.8224003754173353,0.872378475794603,0.9034917958975038,0.924845993491086
gov_report:86,60,5,971,0.6528645248170032,0.819624837371119,0.8688855038142158,0.9016597254896412,0.9249493905166289
gov_report:86,60,6,971,0.614473838662443,0.7696627472958825,0.8273797891220396,0.8663419363340132,0.8944740269838064
gov_report:86,60,7,971,0.8953637099592537,0.9407016999114062,0.9557372268422235,0.9655557645887374,0.9727705254478102
gov_report:86,60,8,971,0.7897577424784095,0.8763110930852437,0.9122520914277547,0.9344808681256911,0.9507649456067755
gov_report:86,60,9,971,0.7822325012355391,0.8726170905980954,0.9114064796116541,0.9353640619493424,0.9517469633450616
gov_report:86,60,10,971,0.8006106849563949,0.8855470194339959,0.918319624075968,0.9376581796143552,0.950779376515945
gov_report:86,60,11,971,0.7499821723879152,0.866640768522889,0.9162928634221145,0.9426737662843002,0.9588740299931346
