sample_id,task,cycle,layer,head,shared_mass,own_mass,own_shared_overlap,gain
synthetic_niah_86,niah_single_1,0,10,7,0.9955629097976938,0.9969796125721847,0.6772727272727272,0.0014167027744909078
synthetic_niah_86,niah_single_1,0,11,0,0.9895064002434819,0.991949758073419,0.55,0.0024433578299370984
synthetic_niah_86,niah_single_1,0,11,1,0.9939503968209561,0.9949327273215592,0.6590909090909091,0.0009823305006031458
synthetic_niah_86,niah_single_1,0,11,2,0.9933664391214094,0.9949956366861796,0.6318181818181818,0.0016291975647702017
synthetic_niah_86,niah_single_1,0,11,3,0.9863275785290866,0.9898510658811851,0.5818181818181818,0.003523487352098509
synthetic_niah_86,niah_single_1,0,11,4,0.9854757182289203,0.9888468711127248,0.6590909090909091,0.003371152883804518
synthetic_niah_86,niah_single_1,0,11,5,0.9950578378427539,0.9972122001388057,0.5454545454545454,0.002154362296051815
synthetic_niah_86,niah_single_1,0,11,6,0.9851346675425622,0.98725554028645,0.6727272727272727,0.002120872743887836
synthetic_niah_86,niah_single_1,0,11,7,0.993223182383431,0.9947194613220444,0.6863636363636364,0.0014962789386133712
synthetic_niah_86,niah_single_1,0,12,0,0.9885176720390315,0.9932618343134848,0.5363636363636364,0.00474416227445329
synthetic_niah_86,niah_single_1,0,12,1,0.9831776275204982,0.9852572976282825,0.7681818181818182,0.002079670107784315
synthetic_niah_86,niah_single_1,0,12,2,0.993039591598938,0.9946873809367748,0.6681818181818182,0.0016477893378368247
synthetic_niah_86,niah_single_1,0,12,3,0.9958843797157071,0.9970218091908196,0.7090909090909091,0.001137429475112528
synthetic_niah_86,niah_single_1,0,12,4,0.9848388601859833,0.9869300346148089,0.8227272727272728,0.0020911744288255596
synthetic_niah_86,niah_single_1,0,12,5,0.9993004835096446,0.9995118548566158,0.6045454545454545,0.00021137134697113424
synthetic_niah_86,niah_single_1,0,12,6,0.9976588846301202,0.9980639780899596,0.7318181818181818,0.0004050934598394118
synthetic_niah_86,niah_single_1,0,12,7,0.9924604698673875,0.994263689952485,0.6954545454545454,0.00180322008509759
synthetic_niah_86,niah_single_1,0,13,0,0.9889391727886724,0.9919664804441943,0.7681818181818182,0.003027307655521949
synthetic_niah_86,niah_single_1,0,13,1,0.9867648907768938,0.9913486231414952,0.41818181818181815,0.004583732364601412
synthetic_niah_86,niah_single_1,0,13,2,0.9974833649703266,0.9983334361702295,0.6318181818181818,0.0008500711999028798
synthetic_niah_86,niah_single_1,0,13,3,0.9888266107941286,0.9949231203382549,0.5772727272727273,0.006096509544126327
synthetic_niah_86,niah_single_1,0,13,4,0.9934422120515747,0.9941798487547666,0.8545454545454545,0.0007376367031919351
synthetic_niah_86,niah_single_1,0,13,5,0.9955164701839471,0.9967778525295934,0.6909090909090909,0.0012613823456463225
synthetic_niah_86,niah_single_1,0,13,6,0.9958794125413817,0.99712073187274,0.6590909090909091,0.0012413193313582926
synthetic_niah_86,niah_single_1,0,13,7,0.9991224774182592,0.9992809021475588,0.7727272727272727,0.00015842472929961104
synthetic_niah_86,niah_single_1,0,14,0,0.9928479124651531,0.9965109864737023,0.4681818181818182,0.0036630740085491498
synthetic_niah_86,niah_single_1,0,14,1,0.9971662852944706,0.9981159441645844,0.6409090909090909,0.0009496588701137787
synthetic_niah_86,niah_single_1,0,14,2,0.9986973693185034,0.9989817434583669,0.6909090909090909,0.0002843741398634858
synthetic_niah_86,niah_single_1,0,14,3,0.9868735713882026,0.9887191559823656,0.7318181818181818,0.0018455845941629523
synthetic_niah_86,niah_single_1,0,14,4,0.9961210679786626,0.9969915078659681,0.7136363636363636,0.0008704398873055075
synthetic_niah_86,niah_single_1,0,14,5,0.9967197685872929,0.9982931835815462,0.4681818181818182,0.0015734149942532305
synthetic_niah_86,niah_single_1,0,14,6,0.9940821179647409,0.9958453171634222,0.6772727272727272,0.0017631991986812867
synthetic_niah_86,niah_single_1,0,14,7,0.9969340029220022,0.9982461393901885,0.5136363636363637,0.0013121364681862868
synthetic_niah_86,niah_single_1,0,15,0,0.9595620473078695,0.9620455492489469,0.8454545454545455,0.0024835019410773818
