rule,held_out_sample,threshold,alert_rate,auc,precision,recall,benefit_alerted,benefit_nonalerted,lift_positive
rankprod:stale_action_l1_lag16*churn_jaccard_min,gov_report:96,0.3533761160714286,0.0,0.560483870967742,,0.0,,0.0024286358683844253,False
rankprod:stale_action_l1_lag16*churn_jaccard_min,gov_report:97,0.3533761160714286,0.0,,,,,-0.00864066056740725,False
rankprod:stale_action_l1_lag16*churn_jaccard_min,gov_report:98,0.3394717261904762,0.8125,0.5218579234972678,0.04807692307692308,0.8333333333333334,0.0006741502669483603,0.0038323144155949693,False
rankprod:stale_action_l1_lag16*churn_jaccard_min,synthetic_niah_96,0.3533761160714286,0.0,,,,,-0.006247143161698962,False
and:stale_action_l1_lag16&churn_x_1minus_margin,gov_report:96,0.59765625,0.0,0.5524193548387096,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag16&churn_x_1minus_margin,gov_report:97,0.5625,0.4375,,0.0,,-0.003949514295809388,-0.012289329889761141,True
and:stale_action_l1_lag16&churn_x_1minus_margin,gov_report:98,0.5625,0.4375,0.6639344262295083,0.08928571428571429,0.8333333333333334,0.004170350079284083,-0.0009923948708749982,True
and:stale_action_l1_lag16&churn_x_1minus_margin,synthetic_niah_96,0.5625,0.0,,,,,-0.006247143161698962,False
rankprod:stale_action_l1_lag16*churn_x_1minus_margin,gov_report:96,0.3441422893170426,0.3828125,0.5544354838709677,0.04081632653061224,0.5,0.005597166756098516,0.0004633445582832795,True
rankprod:stale_action_l1_lag16*churn_x_1minus_margin,gov_report:97,0.5494337406015037,0.0625,,0.0,,-0.003336646672909893,-0.008994261493707073,True
rankprod:stale_action_l1_lag16*churn_x_1minus_margin,gov_report:98,0.3963371318922306,0.3359375,0.6092896174863388,0.06976744186046512,0.5,-0.0047827309018080005,0.00432640708840768,False
rankprod:stale_action_l1_lag16*churn_x_1minus_margin,synthetic_niah_96,0.5468316788063909,0.0,,,,,-0.006247143161698962,False
and:stale_action_l1_lag16&tv_x_churn,gov_report:96,0.59765625,0.0,0.8064516129032258,,0.0,,0.0024286358683844253,False
and:stale_action_l1_lag16&tv_x_churn,gov_report:97,0.5625,0.359375,,0.0,,-0.013928986974370254,-0.005674038436671905,False
and:stale_action_l1_lag16&tv_x_churn,gov_report:98,0.5625,0.3515625,0.5252732240437159,0.044444444444444446,0.3333333333333333,-0.009945387956222644,0.007344935322493106,False
and:stale_action_l1_lag16&tv_x_churn,synthetic_niah_96,0.47619047619047616,0.4921875,,0.0,,-0.011370912885156756,-0.0012810278912706388,False
rankprod:stale_action_l1_lag16*tv_x_churn,gov_report:96,0.581650855654762,0.0,0.8729838709677419,,0.0,,0.0024286358683844253,False
rankprod:stale_action_l1_lag16*tv_x_churn,gov_report:97,0.32713008106203006,0.359375,,0.0,,-0.013928986974370254,-0.005674038436671905,False
