regime,policy,task,n_samples,prompt_tokens_mean,retained_fraction_mean,traj_kl_mean,traj_kl_median,step_kl_mean,step_kl_p95,niah_retrieval,govreport_rouge_l,official_score,repetition_4gram
s1_3072_256,full_cache,govreport,3,3493.0,1.0,0.0,0.0,,,,0.06270937243686733,6.270966666666666,0.0077519379844961335
s1_3072_256,full_cache,niah,3,4703.0,1.0,0.0,0.0,,,1.0,,100.0,0.0
s1_3072_256,full_cache,reasoning,2,3115.5,1.0,0.0,0.0,,,0.0,,0.0,0.0
s1_3072_256,qk_pool,govreport,3,3493.0,0.07333995478269771,0.03278432722008296,0.0307352307284531,0.03278432722008303,0.09659747630357733,,0.0652425511659249,6.524266666666667,0.007575757575757566
s1_3072_256,qk_pool,niah,3,4703.0,0.05443334698372727,0.019368747702161168,0.0192847821618303,0.01936874770216122,0.10356454588472837,1.0,,100.0,0.007936507936507934
s1_3072_256,qk_pool,reasoning,2,3115.5,0.08217040782306856,0.007493015066829849,0.007493015066829849,0.007493015066829917,0.034180280007421945,0.0,,0.0,0.0
s1_3072_256,quest_like,govreport,3,3493.0,0.07333995478269771,0.1064964756958392,0.0846717008767325,0.1064964756958392,0.46346140503883354,,0.0563454371542308,5.634533333333334,0.014983164983164966
s1_3072_256,quest_like,niah,3,4703.0,0.05443334698372727,0.03789216102524593,0.0357518236813318,0.03789216102524596,0.2244982406496999,1.0,,100.0,0.0
s1_3072_256,quest_like,reasoning,2,3115.5,0.08217040782306856,0.0165313333356485,0.0165313333356485,0.016531333335648532,0.10198960378766043,0.0,,0.0,0.0
s1_3072_256,uniform,govreport,3,3493.0,0.07333995478269771,0.8014996647815799,0.8358941869984243,0.8014996647815799,3.573152422904968,,0.0659220229784145,6.5921666666666665,0.021640826873385
s1_3072_256,uniform,niah,3,4703.0,0.05443334698372727,1.9126406667112932,1.8666300197117969,1.912640666711293,10.171445512771582,0.0,,0.0,0.0
s1_3072_256,uniform,reasoning,2,3115.5,0.08217040782306856,1.1936940952320043,1.1936940952320043,1.1936940952320043,5.835225534439074,0.0,,0.0,0.07736943907156671
