sample_id,task,anchor,lag,global_generation_index,layer,head,strategy,event_signal,signal_magnitude,robust_z,percentile_rank,event_by_mad,event_by_top_quantile,selected_set_turnover,oracle_overlap,token_text,token_text_availability,event_thresholds,stale_loss,refreshed_loss,refresh_benefit
gov_report:0,gov_report,0,16,15.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0655530786607414e-06,1.205272278414395,0.9549947423764459,False,True,0.004545454545454519,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,0.9356791257156232,1.7242888092292645,-0.7886096835136414
gov_report:0,gov_report,0,26,25.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.111868641601177e-06,1.7691254826803133,0.98801261829653,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,48,47.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0959246310449089e-06,1.575020502188915,0.9808622502628812,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,0.02256304001923226,0.0036349047396662115,0.01892813527956605
gov_report:0,gov_report,0,61,60.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.1251123623878811e-06,1.930356695859995,0.9936908517350158,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,68,67.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.064501248038141e-06,1.192467121157406,0.9535226077812828,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,75,74.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0871707445403445e-06,1.4684492625879477,0.9774973711882229,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,101,100.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.099016458283586e-06,1.6126609103991476,0.9823343848580441,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,102,101.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.1102207508884021e-06,1.7490637928359494,0.9871713985278654,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,105,104.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0625622053339612e-06,1.1688608995647554,0.9512092534174553,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,111,110.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0636533716024132e-06,1.1821449353789124,0.9526813880126183,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
gov_report:0,gov_report,0,124,123.0,27,1.0,v_ridge_leverage,selected_core_new_token_residual_spike,1.0689856253520702e-06,1.247060660716629,0.9613038906414301,False,True,,0.14307854904835596,,unavailable_not_persisted,robust_z>=3 OR within-signal percentile>=95%,,,
