strategy,horizon,task,scope,metric,mean,median,q10,q25,q75,q90,cluster_bootstrap_mean_ci_low,cluster_bootstrap_mean_ci_high,n_rows,n_samples
snapkv,64,reasoning_long_generation,task,avg_approx_kl,0.14333450510448184,0.10101283266912185,0.026931427554841875,0.04904971197333656,0.24502883815041107,0.31258199634989897,0.05455338979519212,0.23211562041377162,15,5
snapkv,64,reasoning_long_generation,task,attention_output_error_mean,0.19727927481034438,0.2093476535390793,0.15053370921056544,0.17938531484721842,0.21580061069043094,0.2260945381889071,0.19190378605305816,0.20241424552496545,15,5
snapkv,64,reasoning_long_generation,task,oracle_overlap,0.4931554450962657,0.49869795574372017,0.46699754133679167,0.4838667805138931,0.5072741544648152,0.5136620956910218,0.48634655973538815,0.4998990878599151,15,5
v_ridge_leverage,1,gov_report,task,avg_delta_nll,0.6432861328810549,0.0943872198169835,-0.14656547015360102,0.0008253961976443236,0.22291019951287616,2.6954250781039732,0.11972060581841504,1.1883645051820626,15,5
v_ridge_leverage,1,gov_report,task,max_delta_nll,0.6432861328810549,0.0943872198169835,-0.14656547015360102,0.0008253961976443236,0.22291019951287616,2.6954250781039732,0.1509021457727428,1.1668516599436947,15,5
v_ridge_leverage,1,gov_report,task,avg_approx_kl,0.6726321850439974,0.07287531933713731,0.0006782932602990124,0.013413078547980392,0.2879016150775201,2.511410630681262,0.17137045475619558,1.1317558268152466,15,5
v_ridge_leverage,1,gov_report,task,attention_output_error_mean,0.36937008624275525,0.3446033795674642,0.24800441885987917,0.2994287901868423,0.3960182387381792,0.494478731850783,0.3134634251809782,0.43437870372500686,15,5
v_ridge_leverage,1,gov_report,task,oracle_overlap,0.15653992401893213,0.16544610503958235,0.11349286050021896,0.12595613829961766,0.18247132230685587,0.20345880481969006,0.13813209403058535,0.18111140494354444,15,5
v_ridge_leverage,1,niah_single_1,task,avg_delta_nll,0.011972305980179716,9.417541379264094e-05,-0.011706142381887472,-8.51904516174784e-06,0.030111855183317715,0.059351545069958433,0.0011141903664788325,0.025605678536931357,15,5
v_ridge_leverage,1,niah_single_1,task,max_delta_nll,0.011972305980179716,9.417541379264094e-05,-0.011706142381887472,-8.51904516174784e-06,0.030111855183317715,0.059351545069958433,0.0011141903664788325,0.023580483203381655,15,5
v_ridge_leverage,1,niah_single_1,task,avg_approx_kl,0.0027427450386401727,0.0003634208869885338,4.4298043941384496e-07,1.4047736531157042e-06,0.002227052553680716,0.002570543935591467,0.0003582045027600828,0.006857838619433954,15,5
v_ridge_leverage,1,niah_single_1,task,attention_output_error_mean,0.09104800316227839,0.10772441482792298,0.0450010326380531,0.07197299201895171,0.11420977783078948,0.11991086757431428,0.08545629505533725,0.0956174591676649,15,5
v_ridge_leverage,1,niah_single_1,task,oracle_overlap,0.47019323338996816,0.45499360366144936,0.3959819277490084,0.4129830166607992,0.5394702222205692,0.5617401801743266,0.4652617034009812,0.4751247633789549,15,5
v_ridge_leverage,1,reasoning_long_generation,task,avg_delta_nll,0.015084824978682814,-0.00019179911416600248,-0.08339874134029017,-0.0553761885054449,0.006348345245701381,0.05228538713750835,-0.025839915223808654,0.08128546630039621,15,5
