sample_id,cycle,layer,recall_p4,recall_p8,recall_p16,recall_p32
synthetic_niah_86,5,14,0.7909090909090909,0.7363636363636363,0.7045454545454546,0.6818181818181818
synthetic_niah_86,5,15,0.7227272727272728,0.6954545454545454,0.6909090909090909,0.6409090909090909
synthetic_niah_86,5,16,0.7181818181818181,0.6818181818181818,0.6727272727272727,0.6636363636363637
synthetic_niah_86,5,17,0.6818181818181818,0.6545454545454545,0.6045454545454545,0.5727272727272728
synthetic_niah_86,5,18,0.6454545454545455,0.6,0.55,0.5454545454545454
synthetic_niah_86,5,19,0.6636363636363637,0.6045454545454545,0.5681818181818182,0.5909090909090909
synthetic_niah_86,5,20,0.6681818181818182,0.5545454545454546,0.5590909090909091,0.5545454545454546
synthetic_niah_86,5,21,0.6090909090909091,0.5363636363636364,0.5636363636363636,0.55
synthetic_niah_86,5,22,0.65,0.5818181818181818,0.5909090909090909,0.5909090909090909
synthetic_niah_86,5,23,0.6590909090909091,0.6,0.5909090909090909,0.5727272727272728
synthetic_niah_86,5,24,0.6772727272727272,0.6272727272727273,0.5818181818181818,0.5772727272727273
synthetic_niah_86,5,25,0.6954545454545454,0.6545454545454545,0.6454545454545455,0.6045454545454545
synthetic_niah_86,5,26,0.6636363636363637,0.6,0.5863636363636363,0.6090909090909091
synthetic_niah_86,5,27,0.7,0.6818181818181818,0.6590909090909091,0.6318181818181818
synthetic_niah_86,5,28,0.7181818181818181,0.6818181818181818,0.6136363636363636,0.6045454545454545
synthetic_niah_86,5,29,0.7227272727272728,0.6818181818181818,0.6363636363636364,0.5954545454545455
synthetic_niah_86,5,30,0.6681818181818182,0.6045454545454545,0.6227272727272727,0.5636363636363636
synthetic_niah_86,5,31,0.7,0.6409090909090909,0.6136363636363636,0.6227272727272727
synthetic_niah_86,5,32,0.7454545454545455,0.6954545454545454,0.6227272727272727,0.6227272727272727
synthetic_niah_86,5,33,0.759090909090909,0.7181818181818181,0.6954545454545454,0.6227272727272727
synthetic_niah_86,5,34,0.7045454545454546,0.6818181818181818,0.6454545454545455,0.6363636363636364
synthetic_niah_86,5,35,0.7363636363636363,0.6818181818181818,0.6818181818181818,0.6272727272727273
synthetic_niah_86,6,0,0.7181818181818181,0.7227272727272728,0.6909090909090909,0.6909090909090909
synthetic_niah_86,6,1,0.6,0.5590909090909091,0.5318181818181819,0.4954545454545455
synthetic_niah_86,6,2,0.6681818181818182,0.6636363636363637,0.65,0.6
synthetic_niah_86,6,3,0.6545454545454545,0.6272727272727273,0.6181818181818182,0.5954545454545455
synthetic_niah_86,6,4,0.6409090909090909,0.5863636363636363,0.5954545454545455,0.5863636363636363
synthetic_niah_86,6,5,0.5454545454545454,0.4954545454545455,0.4863636363636364,0.4681818181818182
synthetic_niah_86,6,6,0.6,0.5545454545454546,0.5545454545454546,0.5409090909090909
synthetic_niah_86,6,7,0.6409090909090909,0.5954545454545455,0.5909090909090909,0.5727272727272728
synthetic_niah_86,6,8,0.7272727272727273,0.6954545454545454,0.6727272727272727,0.6590909090909091
synthetic_niah_86,6,9,0.6727272727272727,0.6318181818181818,0.6227272727272727,0.6090909090909091
synthetic_niah_86,6,10,0.759090909090909,0.6636363636363637,0.6545454545454545,0.6454545454545455
synthetic_niah_86,6,11,0.6863636363636364,0.6272727272727273,0.6136363636363636,0.6045454545454545
synthetic_niah_86,6,12,0.7136363636363636,0.6954545454545454,0.6772727272727272,0.6454545454545455
synthetic_niah_86,6,13,0.7,0.7,0.6772727272727272,0.6545454545454545
synthetic_niah_86,6,14,0.8045454545454546,0.7545454545454545,0.7227272727272728,0.6727272727272727
synthetic_niah_86,6,15,0.7272727272727273,0.6772727272727272,0.6590909090909091,0.5909090909090909
synthetic_niah_86,6,16,0.7363636363636363,0.7045454545454546,0.6909090909090909,0.6227272727272727
synthetic_niah_86,6,17,0.6409090909090909,0.6090909090909091,0.6,0.5363636363636364
synthetic_niah_86,6,18,0.6863636363636364,0.6136363636363636,0.6045454545454545,0.5545454545454546
synthetic_niah_86,6,19,0.6409090909090909,0.5590909090909091,0.5363636363636364,0.5363636363636364
synthetic_niah_86,6,20,0.6545454545454545,0.5409090909090909,0.5318181818181819,0.5227272727272727
synthetic_niah_86,6,21,0.6363636363636364,0.5954545454545455,0.6,0.5636363636363636
synthetic_niah_86,6,22,0.6863636363636364,0.6590909090909091,0.6545454545454545,0.6181818181818182
synthetic_niah_86,6,23,0.6636363636363637,0.6,0.5954545454545455,0.5454545454545454
synthetic_niah_86,6,24,0.6909090909090909,0.6181818181818182,0.6045454545454545,0.5454545454545454
synthetic_niah_86,6,25,0.7090909090909091,0.65,0.6227272727272727,0.6045454545454545
synthetic_niah_86,6,26,0.7136363636363636,0.6727272727272727,0.6636363636363637,0.6045454545454545
synthetic_niah_86,6,27,0.6818181818181818,0.6409090909090909,0.6181818181818182,0.5909090909090909
synthetic_niah_86,6,28,0.7227272727272728,0.6545454545454545,0.6227272727272727,0.6045454545454545
synthetic_niah_86,6,29,0.6909090909090909,0.6363636363636364,0.6090909090909091,0.5590909090909091
synthetic_niah_86,6,30,0.6181818181818182,0.5636363636363636,0.5636363636363636,0.5181818181818182
synthetic_niah_86,6,31,0.6590909090909091,0.6227272727272727,0.6136363636363636,0.6
synthetic_niah_86,6,32,0.7181818181818181,0.6863636363636364,0.6318181818181818,0.6045454545454545
synthetic_niah_86,6,33,0.7545454545454545,0.7227272727272728,0.6636363636363637,0.6181818181818182
synthetic_niah_86,6,34,0.6954545454545454,0.6636363636363637,0.6272727272727273,0.6
synthetic_niah_86,6,35,0.75,0.7136363636363636,0.6818181818181818,0.6545454545454545
synthetic_niah_86,7,0,0.7454545454545455,0.7454545454545455,0.7090909090909091,0.6954545454545454
synthetic_niah_86,7,1,0.6,0.5681818181818182,0.5454545454545454,0.509090909090909
synthetic_niah_86,7,2,0.6727272727272727,0.6636363636363637,0.6454545454545455,0.6136363636363636
synthetic_niah_86,7,3,0.6590909090909091,0.6318181818181818,0.6181818181818182,0.5909090909090909
synthetic_niah_86,7,4,0.6727272727272727,0.6681818181818182,0.6227272727272727,0.6045454545454545
synthetic_niah_86,7,5,0.5636363636363636,0.5227272727272727,0.509090909090909,0.5
synthetic_niah_86,7,6,0.6090909090909091,0.5545454545454546,0.5681818181818182,0.5545454545454546
synthetic_niah_86,7,7,0.6318181818181818,0.5590909090909091,0.5545454545454546,0.5409090909090909
synthetic_niah_86,7,8,0.6727272727272727,0.6318181818181818,0.6227272727272727,0.6181818181818182
synthetic_niah_86,7,9,0.6772727272727272,0.6272727272727273,0.6181818181818182,0.6045454545454545
synthetic_niah_86,7,10,0.75,0.6818181818181818,0.6590909090909091,0.6545454545454545
synthetic_niah_86,7,11,0.6636363636363637,0.6454545454545455,0.6409090909090909,0.6181818181818182
synthetic_niah_86,7,12,0.7318181818181818,0.7136363636363636,0.6909090909090909,0.6636363636363637
synthetic_niah_86,7,13,0.7454545454545455,0.7363636363636363,0.7181818181818181,0.6454545454545455
synthetic_niah_86,7,14,0.7954545454545454,0.7363636363636363,0.7,0.65
synthetic_niah_86,7,15,0.7136363636363636,0.6772727272727272,0.6590909090909091,0.6181818181818182
synthetic_niah_86,7,16,0.7181818181818181,0.7,0.6818181818181818,0.6636363636363637
synthetic_niah_86,7,17,0.6590909090909091,0.6090909090909091,0.6545454545454545,0.5818181818181818
synthetic_niah_86,7,18,0.6590909090909091,0.6136363636363636,0.5863636363636363,0.5363636363636364
synthetic_niah_86,7,19,0.7136363636363636,0.6727272727272727,0.6545454545454545,0.5863636363636363
synthetic_niah_86,7,20,0.7909090909090909,0.75,0.7227272727272728,0.6045454545454545
synthetic_niah_86,7,21,0.6909090909090909,0.6590909090909091,0.6272727272727273,0.5454545454545454
synthetic_niah_86,7,22,0.7181818181818181,0.6863636363636364,0.6545454545454545,0.5818181818181818
synthetic_niah_86,7,23,0.6681818181818182,0.6454545454545455,0.6318181818181818,0.5454545454545454
synthetic_niah_86,7,24,0.6636363636363637,0.6318181818181818,0.6363636363636364,0.5545454545454546
synthetic_niah_86,7,25,0.6727272727272727,0.6409090909090909,0.6318181818181818,0.5681818181818182
synthetic_niah_86,7,26,0.7090909090909091,0.6681818181818182,0.6181818181818182,0.5636363636363636
synthetic_niah_86,7,27,0.7272727272727273,0.6863636363636364,0.6681818181818182,0.5636363636363636
synthetic_niah_86,7,28,0.7045454545454546,0.6818181818181818,0.6681818181818182,0.5681818181818182
synthetic_niah_86,7,29,0.6954545454545454,0.6272727272727273,0.6,0.5363636363636364
synthetic_niah_86,7,30,0.6318181818181818,0.5909090909090909,0.5681818181818182,0.5181818181818182
synthetic_niah_86,7,31,0.6727272727272727,0.6227272727272727,0.6227272727272727,0.4590909090909091
synthetic_niah_86,7,32,0.6454545454545455,0.6090909090909091,0.6045454545454545,0.55
synthetic_niah_86,7,33,0.7,0.65,0.6272727272727273,0.5681818181818182
synthetic_niah_86,7,34,0.6954545454545454,0.6545454545454545,0.6272727272727273,0.5636363636363636
