rule,kind,split,precision,recall,f1,feature_auc,alert_rate,n_alert,mean_benefit_alerted,mean_benefit_not_alerted,benefit_lift
"AND(retained_overlap_le_0.992248,recent_window_exits_gt_0.015625)",and,calibration,0.7916666666666666,1.0,0.8837209302325582,,0.8571428571428571,72,0.3938982324045644,0.0,0.3938982324045644
"AND(retained_overlap_le_0.992248,recent_window_exits_gt_0.015625)",and,evaluation,0.6666666666666666,1.0,0.8,,0.8571428571428571,72,0.27013355990860655,0.0,0.27013355990860655
"AND(retained_overlap_le_0.992248,recent_window_exits_gt_0.015625)",and,replication,0.75,1.0,0.8571428571428571,,0.8571428571428571,72,0.23742434118425365,0.0,0.23742434118425365
"AND(retained_overlap_le_0.992248,horizon_gt_0.5)",and,calibration,0.7916666666666666,1.0,0.8837209302325582,,0.8571428571428571,72,0.3938982324045644,0.0,0.3938982324045644
"AND(retained_overlap_le_0.992248,horizon_gt_0.5)",and,evaluation,0.6666666666666666,1.0,0.8,,0.8571428571428571,72,0.27013355990860655,0.0,0.27013355990860655
"AND(retained_overlap_le_0.992248,horizon_gt_0.5)",and,replication,0.75,1.0,0.8571428571428571,,0.8571428571428571,72,0.23742434118425365,0.0,0.23742434118425365
"AND(recent_window_exits_gt_0.015625,horizon_gt_0.5)",and,calibration,0.7916666666666666,1.0,0.8837209302325582,,0.8571428571428571,72,0.3938982324045644,0.0,0.3938982324045644
"AND(recent_window_exits_gt_0.015625,horizon_gt_0.5)",and,evaluation,0.6666666666666666,1.0,0.8,,0.8571428571428571,72,0.27013355990860655,0.0,0.27013355990860655
"AND(recent_window_exits_gt_0.015625,horizon_gt_0.5)",and,replication,0.75,1.0,0.8571428571428571,,0.8571428571428571,72,0.23742434118425365,0.0,0.23742434118425365
"PROD(retained_overlap,key_query_alignment_mean)",product,calibration,0.8115942028985508,0.9824561403508771,0.888888888888889,0.8391812865497076,0.8214285714285714,69,0.3965314888859223,0.06666666666666667,0.32986482221925567
"PROD(retained_overlap,key_query_alignment_mean)",product,evaluation,0.6619718309859155,0.9791666666666666,0.7899159663865546,0.7407407407407407,0.8452380952380952,71,0.25985375089323487,0.07692307692307693,0.18293067397015794
"PROD(retained_overlap,key_query_alignment_mean)",product,replication,0.75,0.9444444444444444,0.8360655737704917,0.7870370370370371,0.8095238095238095,68,0.2329313953511774,0.07845110508663752,0.15448029026453988
REF_frozen_query_norm_drift,single,calibration,0.7887323943661971,0.9824561403508771,0.875,0.6309291747888239,0.8452380952380952,71,0.39942435203685933,0.00011874911627898146,0.39930560292058037
REF_frozen_query_norm_drift,single,evaluation,0.6714285714285714,0.9791666666666666,0.7966101694915253,0.5700231481481481,0.8333333333333334,70,0.2635659473345668,0.07142857142857142,0.19213737590599536
REF_frozen_query_norm_drift,single,replication,0.75,1.0,0.8571428571428571,0.6493827160493827,0.8571428571428571,72,0.23742434118425365,0.0,0.23742434118425365
