sample_id,cycle,layer,jaccard_attn_delta,jaccard_attn_apv,recall_future_attn,recall_future_delta,recall_future_apv
gov_report:86,2,34,0.9090909090909091,0.9090909090909091,0.5227272727272727,0.5318181818181819,0.5318181818181819
gov_report:86,2,35,0.8727272727272727,0.8772727272727273,0.6272727272727273,0.6409090909090909,0.6454545454545455
gov_report:86,3,0,0.8,0.85,0.7318181818181818,0.6045454545454545,0.6545454545454545
gov_report:86,3,1,0.7818181818181819,0.6045454545454545,0.7636363636363637,0.5863636363636363,0.42727272727272725
gov_report:86,3,2,0.8454545454545455,0.8181818181818182,0.7318181818181818,0.6454545454545455,0.6227272727272727
gov_report:86,3,3,0.8681818181818182,0.8272727272727273,0.7727272727272727,0.7,0.6772727272727272
gov_report:86,3,4,0.8,0.7681818181818182,0.6772727272727272,0.6590909090909091,0.6363636363636364
gov_report:86,3,5,0.8863636363636364,0.8409090909090909,0.7,0.65,0.6227272727272727
gov_report:86,3,6,0.7681818181818182,0.7363636363636363,0.75,0.5772727272727273,0.5409090909090909
gov_report:86,3,7,0.9045454545454545,0.9045454545454545,0.6409090909090909,0.6545454545454545,0.65
gov_report:86,3,8,0.9181818181818182,0.9090909090909091,0.7363636363636363,0.7318181818181818,0.7272727272727273
gov_report:86,3,9,0.9227272727272727,0.9136363636363637,0.7818181818181819,0.7454545454545455,0.7363636363636363
gov_report:86,3,10,0.8954545454545455,0.8954545454545455,0.85,0.8409090909090909,0.8409090909090909
gov_report:86,3,11,0.9136363636363637,0.9181818181818182,0.8545454545454545,0.8136363636363636,0.8181818181818182
gov_report:86,3,12,0.9454545454545454,0.9454545454545454,0.8045454545454546,0.8,0.8045454545454546
gov_report:86,3,13,0.9590909090909091,0.9590909090909091,0.8636363636363636,0.8636363636363636,0.8636363636363636
gov_report:86,3,14,0.9590909090909091,0.9545454545454546,0.8545454545454545,0.8681818181818182,0.8590909090909091
gov_report:86,3,15,0.9545454545454546,0.9545454545454546,0.8454545454545455,0.8227272727272728,0.8227272727272728
gov_report:86,3,16,0.9590909090909091,0.9545454545454546,0.8545454545454545,0.8318181818181818,0.8272727272727273
gov_report:86,3,17,0.95,0.95,0.8818181818181818,0.8590909090909091,0.8545454545454545
gov_report:86,3,18,0.9409090909090909,0.9454545454545454,0.8681818181818182,0.8409090909090909,0.8454545454545455
gov_report:86,3,19,0.9590909090909091,0.9590909090909091,0.8636363636363636,0.8409090909090909,0.8409090909090909
gov_report:86,3,20,0.95,0.9454545454545454,0.85,0.8409090909090909,0.8409090909090909
gov_report:86,3,21,0.9590909090909091,0.9636363636363636,0.8045454545454546,0.8136363636363636,0.8045454545454546
gov_report:86,3,22,0.9636363636363636,0.9636363636363636,0.8227272727272728,0.8181818181818182,0.8181818181818182
gov_report:86,3,23,0.95,0.95,0.8227272727272728,0.8181818181818182,0.8227272727272728
gov_report:86,3,24,0.9181818181818182,0.9363636363636364,0.8227272727272728,0.8090909090909091,0.8
gov_report:86,3,25,0.9136363636363637,0.9181818181818182,0.7954545454545454,0.7681818181818182,0.7681818181818182
gov_report:86,3,26,0.9227272727272727,0.9272727272727272,0.7772727272727272,0.75,0.75
gov_report:86,3,27,0.9409090909090909,0.9363636363636364,0.75,0.7727272727272727,0.7727272727272727
gov_report:86,3,28,0.9272727272727272,0.9227272727272727,0.7181818181818181,0.7227272727272728,0.7181818181818181
gov_report:86,3,29,0.9136363636363637,0.9136363636363637,0.7090909090909091,0.6818181818181818,0.6818181818181818
gov_report:86,3,30,0.9090909090909091,0.9090909090909091,0.7863636363636364,0.7681818181818182,0.7681818181818182
gov_report:86,3,31,0.8636363636363636,0.8727272727272727,0.8227272727272728,0.7909090909090909,0.7909090909090909
gov_report:86,3,32,0.8818181818181818,0.8772727272727273,0.8227272727272728,0.8,0.7954545454545454
gov_report:86,3,33,0.8636363636363636,0.8590909090909091,0.7772727272727272,0.7727272727272727,0.7681818181818182
gov_report:86,3,34,0.8636363636363636,0.8636363636363636,0.8318181818181818,0.8,0.7954545454545454
gov_report:86,3,35,0.8636363636363636,0.8681818181818182,0.759090909090909,0.6818181818181818,0.6818181818181818
gov_report:86,4,0,0.8090909090909091,0.9090909090909091,0.6954545454545454,0.7272727272727273,0.7227272727272728
gov_report:86,4,1,0.6772727272727272,0.6681818181818182,0.8363636363636363,0.6272727272727273,0.6181818181818182
gov_report:86,4,2,0.8227272727272728,0.8181818181818182,0.6636363636363637,0.5636363636363636,0.5681818181818182
gov_report:86,4,3,0.8090909090909091,0.8136363636363636,0.7090909090909091,0.6409090909090909,0.6454545454545455
gov_report:86,4,4,0.8181818181818182,0.8181818181818182,0.6590909090909091,0.6272727272727273,0.6227272727272727
gov_report:86,4,5,0.8590909090909091,0.8545454545454545,0.6363636363636364,0.6227272727272727,0.6181818181818182
gov_report:86,4,6,0.6772727272727272,0.6681818181818182,0.7818181818181819,0.5772727272727273,0.5727272727272728
gov_report:86,4,7,0.8727272727272727,0.8772727272727273,0.6909090909090909,0.6454545454545455,0.6409090909090909
gov_report:86,4,8,0.9181818181818182,0.9090909090909091,0.7636363636363637,0.740909090909091,0.75
gov_report:86,4,9,0.8909090909090909,0.8909090909090909,0.8090909090909091,0.8045454545454546,0.8
gov_report:86,4,10,0.9227272727272727,0.9181818181818182,0.8,0.8,0.7954545454545454
gov_report:86,4,11,0.8818181818181818,0.8772727272727273,0.7863636363636364,0.75,0.75
gov_report:86,4,12,0.9363636363636364,0.95,0.8181818181818182,0.8136363636363636,0.8181818181818182
gov_report:86,4,13,0.9454545454545454,0.95,0.8363636363636363,0.8227272727272728,0.8272727272727273
