sample_id,task,cycle,generated_token_id,pool_scoring_forward_time_s,exact_kl,js,full_nll,perturbed_nll,delta_nll,logit_l2_sq,fisher_quadratic
synthetic_niah_89,niah_single_1,58,31747,0.13324387500006196,0.00012545351637527347,2.6858839191845618e-05,0.037325289100408554,0.03719700127840042,-0.00012828782200813293,14346.75,0.00016254730871878564
gov_report:88,gov_report,8,320,0.12380150000001322,0.00012507323117461056,2.964438681374304e-05,0.003037602873519063,0.0022468341048806906,-0.0007907687686383724,6825.83935546875,0.00013786577619612217
gov_report:86,gov_report,52,547,0.11947187499993106,0.00012399375555105507,3.1611034501111135e-05,0.01284409686923027,0.014707360416650772,0.0018632635474205017,7769.3974609375,0.00011880086094606668
gov_report:86,gov_report,3,279,0.11584337500005404,0.00011797550541814417,2.86799968307605e-05,0.033229000866413116,0.03075050376355648,-0.002478497102856636,1291.559814453125,0.00012383257853798568
gov_report:89,gov_report,49,7468,0.12958245900017573,0.0001033474545693025,2.0677551219705492e-05,0.00025078488397412,0.0003381395654287189,8.73546814545989e-05,20525.28125,0.0001505321270087734
synthetic_niah_89,niah_single_1,7,271,0.1337342089999538,0.00010087306873174384,2.305396628798917e-05,0.0018362818518653512,0.0013923484366387129,-0.0004439334152266383,28942.349609375,0.000118484822451137
synthetic_niah_88,niah_single_1,33,1526,0.12981737499995916,0.00010051537537947297,2.5046503651537932e-05,0.3315289318561554,0.32281601428985596,-0.008712917566299438,26081.525390625,0.00010170396853936836
gov_report:88,gov_report,48,13,0.1300746250000202,0.00010028452379629016,1.7752488929545507e-05,0.00011801023356383666,2.288792165927589e-05,-9.512231190456077e-05,24689.48828125,0.0001626732264412567
synthetic_niah_89,niah_single_1,63,279,0.13750487500010422,0.0001002728968160227,2.0073421183042228e-05,0.00022313489171210676,7.259582343976945e-05,-0.00015053906827233732,47864.40625,0.00014126535097602755
synthetic_niah_89,niah_single_1,50,54710,0.1326387080000586,9.737873187987134e-05,2.2240259568206966e-05,0.001095052808523178,0.0007111880695447326,-0.00038386473897844553,5986.3359375,0.00011442558752605692
gov_report:90,gov_report,56,17439,0.12017758299998604,9.251831943402067e-05,2.4033713998505846e-05,0.011204537004232407,0.011239900253713131,3.5363249480724335e-05,1521.53076171875,8.532522042514756e-05
gov_report:89,gov_report,2,315,0.12010683300002256,9.193893492920324e-05,2.180710362154059e-05,0.00265281880274415,0.002028790069743991,-0.0006240287330001593,3202.452392578125,0.00010185933206230402
synthetic_niah_87,niah_single_1,47,892,0.13134195800000725,8.896322833606973e-05,2.0925315766362473e-05,0.00249182409606874,0.0019082685466855764,-0.0005835555493831635,55886.703125,0.00010012887651100755
synthetic_niah_88,niah_single_1,13,28282,0.1288204169999858,7.890578854130581e-05,1.8154034478357062e-05,0.0010201494442299008,0.000676998752169311,-0.0003431506920605898,22412.748046875,9.138208406511694e-05
gov_report:90,gov_report,16,5707,0.1180723750001107,7.0156944275368e-05,1.724897083477117e-05,0.12287876009941101,0.1229892373085022,0.00011047720909118652,818.5118408203125,7.246241148095578e-05
synthetic_niah_90,niah_single_1,21,10982,0.13584308300005432,6.81189849274233e-05,1.4708806702401489e-05,0.012597980909049511,0.012015582993626595,-0.0005823979154229164,37653.8359375,8.757420437177643e-05
gov_report:87,gov_report,57,862,0.12424429100008183,6.765459693269804e-05,1.5424468074343167e-05,0.0006388768670149148,0.0003887851198669523,-0.00025009174714796245,9989.779296875,7.929182174848393e-05
gov_report:87,gov_report,19,271,0.12207079099994189,6.46470143692568e-05,1.559015981911216e-05,0.0035537441726773977,0.002918510464951396,-0.0006352337077260017,1241.529541015625,6.898160791024566e-05
gov_report:86,gov_report,20,264,0.11894362499992894,6.327015580609441e-05,1.5372777852462605e-05,0.005297077354043722,0.0045365747064352036,-0.0007605026476085186,1466.562744140625,6.693317118333653e-05
synthetic_niah_88,niah_single_1,49,438,0.131080250000025,6.112507981015369e-05,9.510403288004454e-06,4.6132929128361866e-05,5.006777428206988e-06,-4.112615170015488e-05,150274.78125,0.00011340466880938038
gov_report:88,gov_report,33,311,0.1263750829999708,6.067323192837648e-05,1.4209404980647378e-05,0.0018271195003762841,0.001437702914699912,-0.00038941658567637205,2564.85302734375,6.818347901571542e-05
gov_report:88,gov_report,16,7801,0.1251607919999742,6.0227019275771454e-05,1.8035094399238005e-05,9.035655966727063e-05,0.00021181246847845614,0.00012145590881118551,20597.734375,3.55245683749672e-05
gov_report:86,gov_report,34,1849,0.12304583299999194,5.6948880228446797e-05,1.3477523680194281e-05,0.0014706759247928858,0.0017511999467387795,0.00028052402194589376,11562.7412109375,6.342008418869227e-05
gov_report:86,gov_report,26,13,0.1217325829999254,5.538201003219001e-05,1.3653234418598004e-05,0.011591465212404728,0.010492399334907532,-0.0010990658774971962,3192.861083984375,5.720373155781999e-05
gov_report:87,gov_report,34,12039,0.12147520799999256,5.362000229069963e-05,1.3614099771075416e-05,0.008556372486054897,0.009529695846140385,0.0009733233600854874,11423.8876953125,5.153762685949914e-05
gov_report:88,gov_report,0,334,0.1345319170000039,5.007163781556301e-05,1.1575029930099845e-05,0.0018388995667919517,0.0015642322832718492,-0.0002746672835201025,8883.9677734375,5.6989811128005385e-05
synthetic_niah_86,niah_single_1,8,785,0.12816991599999739,4.925335815642029e-05,1.2002748917439021e-05,0.000849601230584085,0.0006420934805646539,-0.00020750775001943111,13632.845703125,5.173314639250748e-05
gov_report:90,gov_report,15,1895,0.12123112499989475,4.844805152970366e-05,1.1225654816371389e-05,0.001678725820966065,0.001416871091350913,-0.0002618547296151519,5622.1328125,5.398348730523139e-05
gov_report:86,gov_report,28,12994,0.11892787500005397,4.7422134230146185e-05,1.1326186722726561e-05,0.03769214078783989,0.03889864310622215,0.0012065023183822632,12356.1875,5.141103611094877e-05
synthetic_niah_90,niah_single_1,27,24523,0.1319327080000221,4.466525206225924e-05,1.0216081136604771e-05,0.0005308172549121082,0.000348268891684711,-0.0001825483632273972,15114.50390625,5.1901522965636104e-05
gov_report:88,gov_report,13,8259,0.12230683299992506,4.05504324589856e-05,9.119911737798247e-06,0.0002915434306487441,0.00016389934171456844,-0.00012764408893417567,16766.37109375,4.894871017313562e-05
gov_report:88,gov_report,1,19237,0.12560966699993514,3.792876668740064e-05,1.0149226000066847e-05,0.0025395068805664778,0.0025977694895118475,5.826260894536972e-05,4563.7470703125,3.283335536252707e-05
gov_report:90,gov_report,42,11,0.12118316600003709,3.6748671845998615e-05,9.210025382344611e-06,0.021587517112493515,0.022875584661960602,0.0012880675494670868,5445.39599609375,3.6026940506417304e-05
gov_report:86,gov_report,31,1526,0.12134266699990803,3.475450648693368e-05,8.719156539882533e-06,0.0015169790713116527,0.001353539526462555,-0.00016343954484909773,6724.56640625,3.419254062464461e-05
synthetic_niah_87,niah_single_1,51,54710,0.13149929200000088,3.415118408156559e-05,7.4618583312258124e-06,0.00021884430316276848,0.00012337400403339416,-9.547029912937433e-05,23899.56640625,4.2487579776206985e-05
gov_report:88,gov_report,3,279,0.11965091699994446,3.079673115280457e-05,7.368004389718408e-06,0.0018516314448788762,0.0015711355954408646,-0.00028049584943801165,1485.045166015625,3.3834498026408255e-05
synthetic_niah_89,niah_single_1,20,374,0.13194854200003192,3.040259616682306e-05,8.282380804303102e-06,0.00015198028995655477,0.00026008085114881396,0.00010810056119225919,58285.7265625,2.4592631234554574e-05
synthetic_niah_87,niah_single_1,49,311,0.13685175000000527,2.7879872504854575e-05,8.21905632619746e-06,4.660974445869215e-05,8.904537389753386e-05,4.2435629438841715e-05,53790.0390625,1.7666419807937928e-05
gov_report:87,gov_report,56,518,0.12774912499992297,2.7642056011245586e-05,6.904300789756235e-06,0.0012817509705200791,0.0011828100541606545,-9.894091635942459e-05,4756.025390625,2.761688119790051e-05
gov_report:86,gov_report,41,17601,0.1233037910000121,2.7114154363516718e-05,6.763649253116455e-06,0.0194147527217865,0.02003725990653038,0.0006225071847438812,6270.7333984375,2.7114516342408024e-05
gov_report:88,gov_report,2,315,0.12647066700003506,2.4798346203169785e-05,6.0942784330109134e-06,0.0058492678217589855,0.005340950563549995,-0.0005083172582089901,3085.376220703125,2.5813260435825214e-05
synthetic_niah_87,niah_single_1,40,1660,0.13057295900000554,2.4674740416230634e-05,6.104066414991394e-06,0.009770900942385197,0.009091646410524845,-0.0006792545318603516,121159.1640625,2.5236737201339565e-05
gov_report:89,gov_report,25,320,0.12024137499997778,2.388251778029371e-05,5.368180609366391e-06,0.0001560327800689265,8.487341256113723e-05,-7.115936750778928e-05,5452.1484375,2.9139377147657797e-05
gov_report:87,gov_report,3,279,0.12073391700005232,2.250975558126811e-05,5.347237674868666e-06,0.0004637358069885522,0.0003992714046034962,-6.446440238505602e-05,3189.653076171875,2.4308184947585687e-05
synthetic_niah_89,niah_single_1,13,348,0.13031958300001634,2.1748501239926554e-05,4.962928869645111e-06,0.004699732642620802,0.004358791746199131,-0.0003409408964216709,23107.580078125,2.4956028937594965e-05
synthetic_niah_87,niah_single_1,39,12884,0.130335333000005,2.0853642126894556e-05,4.000607532361755e-06,3.45700973412022e-05,8.940656698541716e-06,-2.5629440642660484e-05,98402.65625,3.127919990220107e-05
gov_report:86,gov_report,11,279,0.11908658300001207,2.0203811800456606e-05,4.902000000583939e-06,0.004632099531590939,0.004242111928761005,-0.00038998760282993317,6887.9638671875,2.1223942894721404e-05
synthetic_niah_86,niah_single_1,23,279,0.12989854100000287,1.939885078172665e-05,3.605042365961708e-06,2.8013790142722428e-05,6.556489552167477e-06,-2.145730059055495e-05,48960.91796875,2.978488373628352e-05
gov_report:89,gov_report,26,2034,0.12126720800006296,1.882001197373029e-05,3.995079168817028e-06,6.603976362384856e-05,2.7894584491150454e-05,-3.8145179132698104e-05,2869.809814453125,2.4571172616560943e-05
synthetic_niah_89,niah_single_1,0,18,2.0644174999999905,1.724438880046364e-05,3.8568709896935616e-06,0.00011324241495458409,6.186770770000294e-05,-5.1374707254581153e-05,12086.13671875,2.0941892216796987e-05
synthetic_niah_88,niah_single_1,47,892,0.13780658400003176,1.6910444173845463e-05,3.2447305784444325e-06,2.9205850296420977e-05,7.986990567587782e-06,-2.1218859728833195e-05,42294.89453125,2.527749165892601e-05
synthetic_niah_90,niah_single_1,0,21,1.9649237499999117,1.6768854038673453e-05,3.7559884731308557e-06,0.00010597144137136638,5.6980417866725475e-05,-4.899102350464091e-05,16014.26953125,2.0512827177299187e-05
gov_report:88,gov_report,4,7801,0.12229075000004741,1.6368590877391398e-05,4.276709660189226e-06,0.0005401106318458915,0.0006410212954506278,0.00010091066360473633,2135.230712890625,1.4747642126167193e-05
synthetic_niah_86,niah_single_1,46,892,0.13540512499999124,1.4057654880161863e-05,2.612729986140039e-06,2.109982233378105e-05,5.245195097813848e-06,-1.58546272359672e-05,42283.73046875,2.1596702936221845e-05
synthetic_niah_88,niah_single_1,61,264,0.13385270800000626,1.3356489944271743e-05,3.0962810342316516e-06,0.001149827498011291,0.0009997851448133588,-0.00015004235319793224,43986.03515625,1.48831777551095e-05
gov_report:90,gov_report,3,279,0.12268970800005263,1.3022579878452234e-05,3.1915612908051116e-06,0.0029690254013985395,0.0028662097174674273,-0.00010281568393111229,1293.5296630859375,1.3356171621126123e-05
synthetic_niah_86,niah_single_1,48,438,0.140357999999992,1.2078980034857523e-05,2.436077920719981e-06,2.7894584491150454e-05,9.298280929215252e-06,-1.85963035619352e-05,67119.1484375,1.688179690972902e-05
synthetic_niah_90,niah_single_1,48,438,0.13573720900001263,1.1731426639016718e-05,2.356435516048805e-06,2.777537883957848e-05,9.536697689327411e-06,-1.8238681150251068e-05,49603.6796875,1.6133382814587094e-05
synthetic_niah_87,niah_single_1,21,374,0.134892624999992,1.1358619303791784e-05,3.406963969609933e-06,1.2993727978027891e-05,3.4450891689630225e-05,2.1457163711602334e-05,64032.4609375,6.542464234371437e-06
synthetic_niah_86,niah_single_1,0,17,1.330418709,1.0550274055276532e-05,2.274619873787742e-06,4.207999518257566e-05,1.883488948806189e-05,-2.3245105694513768e-05,16334.0791015625,1.3629743989440612e-05
synthetic_niah_89,niah_single_1,24,279,0.13614270799996575,1.0457475582370535e-05,2.3827435597922886e-06,9.548207890475169e-05,5.757642793469131e-05,-3.790565097006038e-05,26474.92578125,1.2248292478034273e-05
synthetic_niah_88,niah_single_1,38,279,0.13150591700002678,1.0210631444351748e-05,1.8180244296672754e-06,1.2040065485052764e-05,2.264974000354414e-06,-9.77509148469835e-06,90431.0703125,1.684914059296716e-05
gov_report:90,gov_report,17,458,0.11812124999983098,1.0145372471015435e-05,2.518480414437363e-06,0.009000563062727451,0.008617594838142395,-0.0003829682245850563,1337.2421875,1.0117136298504192e-05
gov_report:89,gov_report,1,19237,0.12080824999998185,9.872159353108145e-06,2.286757080582902e-06,0.00011848701251437888,7.891343557275832e-05,-3.957357694162056e-05,4621.0576171875,1.129049269366078e-05
synthetic_niah_86,niah_single_1,60,264,0.132687207999993,9.132088052865583e-06,2.2627905309491325e-06,0.0010905277449637651,0.0012038849527016282,0.00011335720773786306,39322.83203125,8.659757440909743e-06
gov_report:87,gov_report,6,279,0.12141783399999895,8.95062112249434e-06,2.1648120309691876e-06,0.0006320862448774278,0.0005822870298288763,-4.979921504855156e-05,2898.62109375,9.439456334803253e-06
gov_report:86,gov_report,46,22798,0.1227275420000069,8.589244316681288e-06,1.9964718376286328e-06,0.00024136967840604484,0.0001951265730895102,-4.624310531653464e-05,6480.2734375,9.834168849920388e-06
synthetic_niah_90,niah_single_1,46,892,0.1342130420000558,8.587887350586243e-06,1.690607177806669e-06,1.7404405298293568e-05,5.364403477869928e-06,-1.204000182042364e-05,46786.0859375,1.2391217751428485e-05
gov_report:90,gov_report,18,23251,0.12037200000008852,8.049614734773058e-06,1.945179064932745e-06,0.002744956873357296,0.0025466412771493196,-0.00019831559620797634,893.8070068359375,8.182055353245232e-06
synthetic_niah_88,niah_single_1,0,17,1.1053725419999978,7.924043529783376e-06,1.7751219729689183e-06,3.909988299710676e-05,1.883488948806189e-05,-2.026499350904487e-05,16175.619140625,1.0207874765910674e-05
gov_report:90,gov_report,25,320,0.11816104199988331,7.42302381695481e-06,1.8809428183885757e-06,0.0004219118563923985,0.0004993622424080968,7.745038601569831e-05,1798.314697265625,7.065571480779909e-06
synthetic_niah_89,niah_single_1,38,279,0.13039870800002973,7.299643584701698e-06,1.2390437404974364e-06,8.4638240878121e-06,2.0265558760002023e-06,-6.437268211811897e-06,56211.0234375,1.2350233191682491e-05
synthetic_niah_86,niah_single_1,37,279,0.13274545800000226,7.16039858161821e-06,1.2311456885072403e-06,7.748573807475623e-06,1.4305104514278355e-06,-6.318063356047787e-06,98129.78125,1.2205082384753041e-05
synthetic_niah_90,niah_single_1,23,279,0.13240154100003565,7.091954557836289e-06,1.435374088032404e-06,1.7762025890988298e-05,6.318072337307967e-06,-1.144395355368033e-05,34676.21875,9.660890100349206e-06
gov_report:87,gov_report,44,448,0.12699462500006575,7.087891390256118e-06,1.9958806660724804e-06,4.7205765440594405e-05,7.60526381782256e-05,2.8846872737631202e-05,6113.92822265625,6.013383881509071e-06
synthetic_niah_90,niah_single_1,37,279,0.13717941699997027,6.72987653160817e-06,1.2271125342522282e-06,9.417489309271332e-06,2.264974000354414e-06,-7.152515308916918e-06,72413.5625,1.0350333468522877e-05
gov_report:90,gov_report,10,65201,0.11878808400001617,6.474123892985517e-06,1.6874492985152756e-06,0.0006373281357809901,0.0007334641413763165,9.613600559532642e-05,2440.60791015625,6.308898718998535e-06
synthetic_niah_89,niah_single_1,49,438,0.13098987500006842,6.4215887505270075e-06,1.3957098872197093e-06,3.0636318115284666e-05,1.490105023549404e-05,-1.5735267879790626e-05,28975.3046875,8.020691893761978e-06
synthetic_niah_87,niah_single_1,0,23,2.8309848330000023,5.600013082585065e-06,1.2499798458520672e-06,3.349725011503324e-05,1.764281842042692e-05,-1.585443169460632e-05,34802.41796875,6.892316832818324e-06
gov_report:86,gov_report,6,8259,0.12191720900000291,5.400791906140512e-06,1.1758045275200857e-06,2.1815061700181104e-05,9.775113539944869e-06,-1.2039948160236236e-05,11129.9853515625,7.089974587870529e-06
gov_report:86,gov_report,9,1895,0.11976604099993438,5.373690783017082e-06,1.1466722753539216e-06,2.8729025871143676e-05,1.6093124941107817e-05,-1.263590093003586e-05,3620.217041015625,6.634800683968933e-06
gov_report:87,gov_report,33,12238,0.1230547079999269,5.1276988415338565e-06,1.2440377759048715e-06,0.00013195598148740828,9.846202738117427e-05,-3.3493954106234014e-05,7648.09765625,5.704492195945932e-06
gov_report:90,gov_report,22,4180,0.11916995799992947,4.709915629064199e-06,1.1998065474472241e-06,0.001111366436816752,0.001135062426328659,2.36959895119071e-05,3498.250244140625,4.82436962556676e-06
synthetic_niah_88,niah_single_1,34,279,0.1326994170000262,4.507245648710523e-06,8.806837286101654e-07,9.536697689327411e-06,3.2186455882765586e-06,-6.318052101050853e-06,53018.12109375,6.769137144146953e-06
synthetic_niah_90,niah_single_1,33,279,0.13701037499993163,4.451544100447791e-06,8.895065093383892e-07,1.07287787614041e-05,3.814689989667386e-06,-6.914088771736715e-06,14365.634765625,6.147907697595656e-06
synthetic_niah_89,niah_single_1,47,892,0.13731129200004943,4.382222869026009e-06,9.669957989899558e-07,1.823885577323381e-05,8.22540732769994e-06,-1.0013448445533868e-05,18934.330078125,6.068215952836908e-06
gov_report:88,gov_report,35,279,0.13611691699998119,4.117005573789356e-06,9.293294169765431e-07,5.1377883210079744e-05,3.504691630951129e-05,-1.6330966900568455e-05,18709.30859375,4.866427389060846e-06
gov_report:86,gov_report,16,5896,0.11672674999999799,3.8962193684710655e-06,9.57056954575819e-07,9.715084888739511e-05,7.199982064776123e-05,-2.5151028239633888e-05,2280.655517578125,4.456558599486016e-06
synthetic_niah_88,niah_single_1,24,279,0.13107812499998772,3.526315140334191e-06,7.573115681225318e-07,1.3708974620385561e-05,6.079655122448457e-06,-7.629319497937104e-06,85883.9375,4.557186912279576e-06
gov_report:86,gov_report,55,29939,0.11894595900002969,3.2815571557875955e-06,7.474353651559795e-07,4.51792984677013e-05,3.099393507000059e-05,-1.4185363397700712e-05,9931.03125,3.768989927266375e-06
gov_report:87,gov_report,1,19237,0.12567799999999352,3.1086574381333776e-06,6.97828681950341e-07,2.3245540432981215e-05,1.5258672647178173e-05,-7.986867785803042e-06,5310.49951171875,3.8012710774637526e-06
synthetic_niah_90,niah_single_1,38,12884,0.13255783299996438,3.074042524531251e-06,5.515539669431746e-07,3.6954811548639555e-06,7.152555099310121e-07,-2.9802256449329434e-06,96696.515625,5.053134827903705e-06
gov_report:90,gov_report,35,27681,0.12216424999996889,3.0725177566637285e-06,8.229624199884711e-07,0.00012337400403339416,0.0001528146385680884,2.9440634534694254e-05,4535.5556640625,2.8874046620330773e-06
gov_report:89,gov_report,42,311,0.12691945799997484,3.0349469852808397e-06,6.699042955915502e-07,8.570780482841656e-05,6.806619057897478e-05,-1.7641614249441773e-05,34430.09765625,3.908684902853565e-06
gov_report:88,gov_report,36,472,0.14360733300009088,2.928202547991532e-06,7.42080487725616e-07,0.0001494772732257843,0.00017951308109331876,3.003580786753446e-05,1710.1729736328125,2.6075199457409326e-06
