strategy,lag,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
attention_weighted_v_ridge_leverage,92,future_new_token_residual,9.117385673107492e-07,8.931594017269618e-07,9.273948364807438e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,93,future_new_token_residual,9.105356184591074e-07,8.892696442330817e-07,9.418660340543283e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,94,future_new_token_residual,9.289229865316884e-07,9.11090950239668e-07,9.564508985704378e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,95,future_new_token_residual,9.181988502859895e-07,8.917081970594154e-07,9.423253004570142e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,96,future_new_token_residual,9.29987777453789e-07,9.032369234773796e-07,9.533323840571484e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,97,future_new_token_residual,9.178187951874861e-07,8.995992985205703e-07,9.486643548939355e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,98,future_new_token_residual,9.345212674816139e-07,8.95307000092771e-07,9.638696383262868e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,99,future_new_token_residual,9.119777075738966e-07,8.843440468808694e-07,9.478930046213918e-07,15,180,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,100,future_new_token_residual,9.444460715712921e-07,9.261169111596246e-07,9.690602738032794e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,101,future_new_token_residual,9.178719153624115e-07,9.016671924655384e-07,9.458254680794198e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,102,future_new_token_residual,9.315063209669461e-07,8.981977977384758e-07,9.70383881337966e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,103,future_new_token_residual,9.150932669399481e-07,8.8626747256626e-07,9.407779089087853e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,104,future_new_token_residual,9.31599885234391e-07,9.105890093508151e-07,9.557602425047662e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,105,future_new_token_residual,9.089814057006151e-07,8.824928670492227e-07,9.385778675152777e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,106,future_new_token_residual,9.165723611204157e-07,8.895611927073332e-07,9.443190265301382e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,107,future_new_token_residual,9.227259170074831e-07,9.015017781166534e-07,9.433354080101708e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,108,future_new_token_residual,9.118743378166982e-07,8.900372222342412e-07,9.32802338837746e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,109,future_new_token_residual,9.187673981614353e-07,8.976548329542311e-07,9.520230818793607e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,110,future_new_token_residual,9.199229680234566e-07,8.965749167089144e-07,9.384231653086771e-07,15,174,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,111,future_new_token_residual,9.260038495995104e-07,8.989897601452413e-07,9.510516179034312e-07,15,168,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,112,future_new_token_residual,9.151869164725213e-07,9.008014210110105e-07,9.311293638347706e-07,15,168,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,113,future_new_token_residual,9.258184547888959e-07,8.858332876116037e-07,9.477163587234827e-07,15,90,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,114,future_new_token_residual,9.217710896791687e-07,8.911806901323871e-07,9.507893423688074e-07,15,90,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,115,future_new_token_residual,9.029020020534517e-07,8.816105605546909e-07,9.263222189304088e-07,15,90,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,116,future_new_token_residual,9.368102382723009e-07,9.161560683423886e-07,9.748426919031772e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,117,future_new_token_residual,9.200983015489328e-07,8.871652710240596e-07,9.495535344683502e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,118,future_new_token_residual,9.264320794954983e-07,8.934175923513976e-07,9.64939886216598e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,119,future_new_token_residual,9.144308990016725e-07,8.837028531161195e-07,9.519961864157267e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,120,future_new_token_residual,9.178537538900855e-07,8.838789739229469e-07,9.503643290997843e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,121,future_new_token_residual,8.99702229162358e-07,8.710455858818023e-07,9.419684658951155e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,122,future_new_token_residual,9.184002465190133e-07,8.957720183389029e-07,9.434672563202184e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,123,future_new_token_residual,9.298667578150344e-07,8.951823247116408e-07,9.67597041778845e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,124,future_new_token_residual,9.226764632330742e-07,8.936122185332352e-07,9.599242503099958e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,125,future_new_token_residual,9.020599520681571e-07,8.815931799688315e-07,9.22179140161461e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,126,future_new_token_residual,9.282210839955951e-07,8.995248592214012e-07,9.56885003233765e-07,14,84,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,127,future_new_token_residual,9.260085391815664e-07,8.992831794785161e-07,9.594379548616416e-07,13,78,95% sample-cluster bootstrap CI
attention_weighted_v_ridge_leverage,128,future_new_token_residual,9.189334946313465e-07,8.820454127089761e-07,9.548733714836999e-07,13,78,95% sample-cluster bootstrap CI
snapkv,1,future_new_token_residual,9.275007926135004e-07,8.972207020008227e-07,9.526998681508303e-07,15,270,95% sample-cluster bootstrap CI
snapkv,2,future_new_token_residual,9.051031497619988e-07,8.846933759798503e-07,9.305242656409973e-07,15,270,95% sample-cluster bootstrap CI
snapkv,3,future_new_token_residual,9.209425115841441e-07,9.007757171275443e-07,9.480108779769126e-07,15,270,95% sample-cluster bootstrap CI
snapkv,4,future_new_token_residual,9.077625122699828e-07,8.9470376991585e-07,9.263176536933315e-07,15,270,95% sample-cluster bootstrap CI
snapkv,5,future_new_token_residual,9.05839186771118e-07,8.790264004687742e-07,9.271819862988195e-07,15,270,95% sample-cluster bootstrap CI
snapkv,6,future_new_token_residual,9.061377568286844e-07,8.929996603512791e-07,9.208594633491884e-07,15,270,95% sample-cluster bootstrap CI
snapkv,7,future_new_token_residual,9.176440300961985e-07,9.01036003142508e-07,9.352514204863383e-07,15,270,95% sample-cluster bootstrap CI
snapkv,8,future_new_token_residual,9.160602871816081e-07,8.996135541394778e-07,9.342369651221816e-07,15,270,95% sample-cluster bootstrap CI
snapkv,9,future_new_token_residual,9.211371434503235e-07,8.988689046418585e-07,9.396582072440651e-07,15,270,95% sample-cluster bootstrap CI
snapkv,10,future_new_token_residual,9.171336898816662e-07,8.964908602138166e-07,9.39686856327171e-07,15,270,95% sample-cluster bootstrap CI
snapkv,11,future_new_token_residual,8.97644582664725e-07,8.777728446318633e-07,9.192273182634381e-07,15,270,95% sample-cluster bootstrap CI
snapkv,12,future_new_token_residual,9.207878974848427e-07,8.995182270155055e-07,9.381618610859732e-07,15,270,95% sample-cluster bootstrap CI
snapkv,13,future_new_token_residual,9.057473278062389e-07,8.723276607724983e-07,9.193451546707365e-07,15,270,95% sample-cluster bootstrap CI
snapkv,14,future_new_token_residual,9.012488249027228e-07,8.753286806495453e-07,9.260063507099403e-07,15,270,95% sample-cluster bootstrap CI
snapkv,15,future_new_token_residual,9.044002524660755e-07,8.755851126807101e-07,9.250172233521426e-07,15,270,95% sample-cluster bootstrap CI
snapkv,16,future_new_token_residual,9.117741797126655e-07,8.978422734173819e-07,9.311465873906855e-07,15,270,95% sample-cluster bootstrap CI
snapkv,17,future_new_token_residual,9.008741699290113e-07,8.795297596009277e-07,9.1789020473243e-07,15,270,95% sample-cluster bootstrap CI
snapkv,18,future_new_token_residual,9.156835574231081e-07,8.945059732923255e-07,9.34998638513207e-07,15,270,95% sample-cluster bootstrap CI
snapkv,19,future_new_token_residual,9.134777485542145e-07,8.918616288156044e-07,9.484669760695397e-07,15,270,95% sample-cluster bootstrap CI
snapkv,20,future_new_token_residual,9.156220244221913e-07,8.920178636628862e-07,9.333155617241573e-07,15,270,95% sample-cluster bootstrap CI
snapkv,21,future_new_token_residual,9.122878736889106e-07,8.879149966389832e-07,9.352618235425325e-07,15,270,95% sample-cluster bootstrap CI
snapkv,22,future_new_token_residual,9.190011951432098e-07,8.98295155593587e-07,9.332492254543467e-07,15,270,95% sample-cluster bootstrap CI
snapkv,23,future_new_token_residual,9.268822225294571e-07,8.954032509222997e-07,9.434559387955233e-07,15,270,95% sample-cluster bootstrap CI
snapkv,24,future_new_token_residual,9.201895920796233e-07,9.073922676350321e-07,9.325492555944948e-07,15,270,95% sample-cluster bootstrap CI
snapkv,25,future_new_token_residual,9.272382328617823e-07,9.086282659609424e-07,9.385949510942737e-07,15,270,95% sample-cluster bootstrap CI
snapkv,26,future_new_token_residual,9.228330100086168e-07,9.01325961422117e-07,9.362179866911902e-07,15,270,95% sample-cluster bootstrap CI
snapkv,27,future_new_token_residual,9.238123936938791e-07,9.058409823126113e-07,9.411667747372121e-07,15,270,95% sample-cluster bootstrap CI
snapkv,28,future_new_token_residual,9.222765697813884e-07,8.984290481350854e-07,9.491640057035511e-07,15,270,95% sample-cluster bootstrap CI
snapkv,29,future_new_token_residual,9.033220180754142e-07,8.809966772105326e-07,9.212314182605041e-07,15,270,95% sample-cluster bootstrap CI
snapkv,30,future_new_token_residual,9.198342922900338e-07,8.83649988736579e-07,9.36178464172599e-07,15,270,95% sample-cluster bootstrap CI
snapkv,31,future_new_token_residual,9.093918151847902e-07,8.810128008462925e-07,9.275401566810615e-07,15,270,95% sample-cluster bootstrap CI
snapkv,32,future_new_token_residual,9.176258402021631e-07,8.960431330251595e-07,9.403356763471038e-07,15,270,95% sample-cluster bootstrap CI
snapkv,33,future_new_token_residual,9.182387259443203e-07,8.982678707525338e-07,9.400358180755575e-07,15,270,95% sample-cluster bootstrap CI
snapkv,34,future_new_token_residual,9.189109277940588e-07,8.995967277769523e-07,9.379504888329393e-07,15,270,95% sample-cluster bootstrap CI
snapkv,35,future_new_token_residual,9.08814854483353e-07,8.890417575457832e-07,9.41902726481203e-07,15,270,95% sample-cluster bootstrap CI
