sample_id,sample_cluster,task,future_step,delta_nll,record_type,metric,estimate,ci_low,ci_high,n_samples,n_rows,uncertainty
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,11,0.07735308334888202,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,11,0.10411422382818951,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,11,-0.0927923689391091,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,11,0.21404193462730584,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,12,0.5255634040507585,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,12,-0.0007928907651700475,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,12,0.05333326981230021,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,12,-0.03835272242849067,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,12,-0.08279736232265122,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,12,0.0011416577294021124,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,12,0.006456203522920608,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,12,0.07842918748874676,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,12,0.14815942819532305,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,12,-0.003362851500012217,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,12,-0.0015972037192852895,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,12,0.08465265852352861,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,12,0.027007075333666346,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,12,-0.002242557400261802,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,12,0.05711213448514366,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,13,0.18556072199380935,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,13,-0.0038328504582357445,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,13,0.012571020201422792,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,13,-2.0269640277348344e-05,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,13,-0.06917123515675883,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,13,0.0009229461544582781,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,13,0.0009440030987981629,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,13,-0.05436130626932586,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,13,0.05872559851527844,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,13,-0.004306017606073927,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,13,-0.0023449080134341216,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,13,-0.0021119253583184636,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,13,0.1961576390088903,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,13,-0.017541322136130095,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,13,0.03509716708592355,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,14,-0.02738707645739069,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,14,-0.04613693814785691,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,14,1.2264477735148418,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,14,0.011455133502588902,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,14,0.41971120965582404,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,14,0.011741019839070313,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,14,-0.08816213264107257,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,14,-0.01560339483551824,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,14,0.5832324414336073,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,14,0.049202845099411974,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,14,-0.05651941832166566,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,14,0.10920594077088334,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,14,0.056015641618759084,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,14,0.31834739297798603,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,14,-0.004079399997227284,sample_trajectory,,,,,,,
synthetic_niah_2,niah_single_1::synthetic_niah_2,niah_single_1,15,-0.08841093267134544,sample_trajectory,,,,,,,
reasoning_long_generation_3,reasoning_long_generation::reasoning_long_generation_3,reasoning_long_generation,15,0.08289848560151232,sample_trajectory,,,,,,,
gov_report:0,gov_report::gov_report:0,gov_report,15,3.3730245240621906,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,15,-0.014652845440889925,sample_trajectory,,,,,,,
gov_report:1,gov_report::gov_report:1,gov_report,15,-0.1088507264819268,sample_trajectory,,,,,,,
synthetic_niah_3,niah_single_1::synthetic_niah_3,niah_single_1,15,-0.08019331083785512,sample_trajectory,,,,,,,
gov_report:2,gov_report::gov_report:2,gov_report,15,-0.02347704102713995,sample_trajectory,,,,,,,
gov_report:4,gov_report::gov_report:4,gov_report,15,0.1130504334135954,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,15,0.0948936720017386,sample_trajectory,,,,,,,
reasoning_long_generation_0,reasoning_long_generation::reasoning_long_generation_0,reasoning_long_generation,15,0.07652749358094368,sample_trajectory,,,,,,,
synthetic_niah_0,niah_single_1::synthetic_niah_0,niah_single_1,15,-0.13439583915931644,sample_trajectory,,,,,,,
reasoning_long_generation_1,reasoning_long_generation::reasoning_long_generation_1,reasoning_long_generation,15,0.31581423461242153,sample_trajectory,,,,,,,
gov_report:3,gov_report::gov_report:3,gov_report,15,0.38198009051212267,sample_trajectory,,,,,,,
reasoning_long_generation_4,reasoning_long_generation::reasoning_long_generation_4,reasoning_long_generation,15,0.06875547383274021,sample_trajectory,,,,,,,
reasoning_long_generation_2,reasoning_long_generation::reasoning_long_generation_2,reasoning_long_generation,15,0.12583045372662957,sample_trajectory,,,,,,,
synthetic_niah_1,niah_single_1::synthetic_niah_1,niah_single_1,16,-0.06884230977119306,sample_trajectory,,,,,,,
synthetic_niah_4,niah_single_1::synthetic_niah_4,niah_single_1,16,-0.007155761688894795,sample_trajectory,,,,,,,
