sample_id,task,stage,history_id,tau_anchor,target_anchor,horizon,layer,boundary,candidate_id,candidate_source,current_mask_hash,tau_mask_hash,mask_changed,controlled_exact_kl,action_only_risk,action_u_norm,action_r_norm,candidate_retained_attention_mass,adjacent_method,risk_all_old,risk_update_g,risk_update_f,risk_update_path,risk_update_gf,risk_update_gp,risk_update_fp,risk_full_fresh,risk_path_q1_only,risk_path_q3_only,risk_single_midpoint
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,36,4,14,15,selector_02_aor,aor,2cdf8ea97af45501dc1e7a98723d77bd255318fb71954bdb57e8bd0091d8420e,bca8505520f11899790b2542e9a5739123d1cea0ffb6533ef00df5d9bbd875e5,True,0.011419575894385536,1.2769319799243569e-05,0.2113543171927951,0.16851522435462465,0.9791959574066169,mx.vjp_of_vjp,-0.00014902130200143178,0.00012393046748938465,-0.00015328821758894145,0.00018058277765999625,0.00011966355190187497,0.00034471427280306863,0.0001792634850437641,0.0003433949801868365,1.236422860020863e-05,1.189527756283099e-05,0.00018053604292531626
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,36,4,14,15,selector_03_v_ridge,v_ridge,9b171cd8260a432f980705d9f6b0cb56d8d46fe824cc4c820224708a8228a57e,b2c744bfb2c1ad7d60db94ad7d59ffcdf8f225bf2e4f59e373640138167711e6,True,0.011465433862411865,1.3057373506190997e-05,0.33777274734696183,0.2717527834893073,0.9958134968182102,mx.vjp_of_vjp,-4.657663427132649e-05,-0.00027045081806153804,-5.036197596340649e-05,0.00024184183039969501,-0.00027423615975361807,0.0004043398271576871,0.0002266879582536925,0.0003891859550116846,8.83583250529177e-05,8.812941185384069e-05,0.00024185200757994923
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,36,4,14,15,selector_04_snapkv,snapkv,2c1b5358109b454c6858dd0fb8a9dfc56b9284c718932d31e51bd737093a4788,272512411430176201749d3e21ca7b151f862d1b8ac92f8a0285a790bdbdc345,True,0.011184734535578944,1.1979575536644732e-05,0.29157502898394283,0.23991779085226272,0.9976569132371683,mx.vjp_of_vjp,0.00010539465284033869,-0.00020374827040967283,0.0001041249161493302,0.00025971808387133255,-0.00020501800710068132,0.00011168477310985817,0.0002566292982642202,0.00010859598750274581,0.0001794998263204823,0.0001791704665352123,0.00025971120507625484
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,36,4,14,15,selector_05_old_stale_core,old_stale_core,952b6392ac408c84dcc8d61c3e4361f461e78697e9a7d23b64a63de9452b9772,8cb1316ede9098e8f91366572e5449c6b0b7ce8ca5ffe089a4ff540882794d62,True,0.011432295194613064,9.848771703084284e-06,0.2294771430382715,0.1838312617209892,0.9795103858533685,mx.vjp_of_vjp,-0.00010196801796035168,0.0001442947504538415,-0.00010612570727899337,1.9398527512621017e-05,0.00014013706113519982,0.00035328706673885406,2.2133007069423205e-05,0.0003560215462956562,-4.2733018242065857e-05,-4.305907086463685e-05,1.9389172949972015e-05
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,36,4,14,15,selector_06_fresh_core,fresh_core,738a3bf3e4007abf00a385660d79f2c8d691c2864482d3574e2380d07192acb9,35523f66f14077e231cc66601f162cda1d38348bae7f2a5fc0db0e459d10a1a1,True,0.011226056482142015,4.647428359027232e-06,0.20460810663981405,0.1684288028058206,0.9703365427590324,mx.vjp_of_vjp,-7.366946644612676e-05,-2.8577606703004182e-05,-7.95474770515635e-05,9.635973286020822e-05,-3.445561730844092e-05,0.0001519256368157704,9.418996586819734e-05,0.00014975586982375955,9.052361421003725e-06,8.698398250717615e-06,9.6324787328521e-05
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,36,4,14,15,selector_07_random_reference,random_reference,ce6b3497941fb7585b3c7dd08c9c814e0b4f5275a439fc3bbc8179462dec60a3,c0607c56ffc58e27d3e898252f146a43ac67914da0457126c121b8e86869b966,True,0.021576817566076677,0.0018391440662082611,5.573461580660593,4.595243851787883,0.9712692955913474,mx.vjp_of_vjp,0.007123352001322925,0.013376804357064169,0.0057055661399609435,0.007695261036486514,0.011959018495702188,0.019443604903016543,-0.001221435356710013,0.010526908509820016,0.0021246971450009713,0.0027113485351815255,0.007728665030907213
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,40,8,14,15,selector_00_attention_only,attention_only,4fbe75d94dffc27dbd8905cb342b1cbd444f162b96e5903ac18e4846786e6dbd,8af8639344695941fb6b1481811aa8bac7a1fefaeeb1e801e00279a5f2ce0574,True,0.1133934366126336,0.00012535397549066102,1.662744549846443,1.802272076953571,0.9206646194035282,mx.vjp_of_vjp,0.0005694525530362043,-0.003776195053057009,0.00017384883782208194,0.00037424318950716486,-0.004171798768271132,0.003106319764574244,5.8097808999645435e-05,0.0027901743840667245,0.0003698303053811986,0.00029553997776321083,0.00037408618441559064
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,40,8,14,15,selector_01_aov,aov,6402f8a24561ed9dd450aea414b49ab550a3c3f43d6a6c1549234a13aeaecbd8,fdd6ceea72da810e0e39f3ece21ced4ac18120c0a29a1655f7bb528e692a3796,True,0.1116790644169689,8.707268873024254e-05,1.5217890956175095,1.6250025607455876,0.9067536142635815,mx.vjp_of_vjp,0.0006301766324691746,-0.0026667397920393803,0.0003319884008135265,0.0004001056310740523,-0.002964928023695028,0.001345052512608673,0.00012366420203319464,0.0010686110835678153,0.0004355880940494904,0.0003872902129305664,0.0004001764093842851
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,40,8,14,15,selector_02_aor,aor,22c3ae0b65aaf2f9f3196ffba7e7d89969c75bef5951bd6f5796633e178fb444,bca8505520f11899790b2542e9a5739123d1cea0ffb6533ef00df5d9bbd875e5,True,0.10990538227656263,0.00015879835948599857,1.6693799289431304,1.8127834015647468,0.9033665543120278,mx.vjp_of_vjp,0.0007453580247912637,-0.003087548303982394,0.0003072833496302849,0.0005118846617168707,-0.0035256229791433727,-0.00037538506328077683,0.00018109707815938233,-0.0007061726468382653,0.0005290143844469554,0.0004636077307363782,0.0005120706831516884
synthetic_niah_104,niah_single_1,replication,fixed_tau_old_core,32,40,8,14,15,selector_03_v_ridge,v_ridge,ae55854689006a367dd75421b154466571eb8542d51044e3eaa3e6b184ffad4c,b2c744bfb2c1ad7d60db94ad7d59ffcdf8f225bf2e4f59e373640138167711e6,True,0.01476950761699325,0.09081081685939527,11.570004875932778,12.789148432921133,0.44314117771688,mx.vjp_of_vjp,0.02771452595879374,-0.041047860178267094,0.0018093172776971365,0.06918055389164618,-0.0669530688593637,-0.17173645198526868,0.08034030042112383,-0.16057670545579103,0.03527257113203491,0.023634583437273215,0.12433311317574927
