gamma,task,layer,history_id,candidate_source,row_count,median_cosine,median_relative_l2,median_residual_norm,row_pass_fraction
0.0625,niah_single_1,0,H3,v_ridge,4,0.9999667618853381,0.008194697384603739,0.0041282814924973425,1.0
0.0625,niah_single_1,14,H1,aor,4,0.9998806214845224,0.015278789075340665,0.0008237042741400229,1.0
0.0625,niah_single_1,14,H1,aov,4,0.9999008375247034,0.014330218364303156,0.0007605309152452714,1.0
0.0625,niah_single_1,14,H1,attention_only,4,0.9999417778453491,0.010472673305374061,0.0008466951481555173,1.0
0.0625,niah_single_1,14,H1,fresh_core,4,0.9999807631225848,0.006167203041884988,0.0007106876357695598,1.0
0.0625,niah_single_1,14,H1,old_stale_core,4,0.9999962771863683,0.0027617670579683784,0.0019265285049982366,1.0
0.0625,niah_single_1,14,H1,random_reference,4,0.9999955596185561,0.0033191112847612853,0.0024108299373362336,1.0
0.0625,niah_single_1,14,H1,snapkv,4,0.9999919723420883,0.004084799364200498,0.0008711854576789327,1.0
0.0625,niah_single_1,14,H1,v_ridge,4,0.9999939836274865,0.0034679111719470267,0.0007908511937450733,1.0
0.0625,niah_single_1,14,H2,aor,4,0.9998360907662008,0.01830946212800261,0.000833145328682705,1.0
0.0625,niah_single_1,14,H2,aov,4,0.999899590116861,0.01427744287404422,0.0007031754415724018,1.0
0.0625,niah_single_1,14,H2,attention_only,4,0.9999510573375965,0.00998859226083455,0.0008081253978924317,1.0
0.0625,niah_single_1,14,H2,fresh_core,4,0.9999774966438251,0.006797935130104824,0.0008923748329555084,1.0
0.0625,niah_single_1,14,H2,old_stale_core,4,0.9999950990229697,0.003134977332556895,0.002354211632454715,1.0
0.0625,niah_single_1,14,H2,random_reference,4,0.9999958786359655,0.0030625913150335703,0.002317257025961515,1.0
0.0625,niah_single_1,14,H2,snapkv,4,0.9999941690121468,0.0034143126565374443,0.0009441087410292112,1.0
0.0625,niah_single_1,14,H2,v_ridge,4,0.9999948990348522,0.0031928393534331467,0.0008266979026085122,1.0
0.0625,niah_single_1,14,H3,aor,4,0.9998944753452222,0.014206891610675502,0.0007232377473283195,1.0
0.0625,niah_single_1,14,H3,aov,4,0.9999038287930323,0.01367287462315733,0.0007575281507951556,1.0
0.0625,niah_single_1,14,H3,attention_only,4,0.9999589405463251,0.009050367232065575,0.0007027466617698884,1.0
0.0625,niah_single_1,14,H3,fresh_core,4,0.9999799613454649,0.006260459261488609,0.0008649399516162628,1.0
0.0625,niah_single_1,14,H3,old_stale_core,4,0.9999953171420184,0.0029922676256289075,0.002288393679011804,1.0
0.0625,niah_single_1,14,H3,random_reference,4,0.999995048492591,0.0032578624172326562,0.0025882695303712034,1.0
0.0625,niah_single_1,14,H3,snapkv,4,0.9999949689185219,0.003211779757581563,0.0009226788091303308,1.0
0.0625,niah_single_1,14,H3,v_ridge,4,0.9999946570674865,0.003268169353314716,0.000846332947908009,1.0
0.0625,niah_single_1,26,H1,aor,4,0.9999987837439096,0.0015983010967876706,0.000600506106184132,1.0
0.0625,niah_single_1,26,H1,aov,4,0.9999989520387427,0.0014922440704614808,0.0005413529875513078,1.0
0.0625,niah_single_1,26,H1,attention_only,4,0.9999989788935266,0.001498646618953498,0.000600315733827351,1.0
0.0625,niah_single_1,26,H1,fresh_core,4,0.9999991470018135,0.001275868725239493,0.0006574086696342905,1.0
0.0625,niah_single_1,26,H1,old_stale_core,4,0.9999971170528767,0.002386213724719074,0.007295305619945005,1.0
0.0625,niah_single_1,26,H1,random_reference,4,0.999995419256855,0.0030837181200837303,0.010229934077147198,1.0
0.0625,niah_single_1,26,H1,snapkv,4,0.9999989305805412,0.0014574548940850455,0.002402097792549594,1.0
0.0625,niah_single_1,26,H1,v_ridge,4,0.9999991974814085,0.001258641932427801,0.0016987185894339822,1.0
0.0625,niah_single_1,26,H2,aor,4,0.9999989775713967,0.0014455957932739021,0.0005586511148372059,1.0
0.0625,niah_single_1,26,H2,aov,4,0.9999982337143206,0.0018889236785454289,0.0006854470762087614,1.0
0.0625,niah_single_1,26,H2,attention_only,4,0.9999988016922345,0.0015442172612833583,0.0008005069371563049,1.0
0.0625,niah_single_1,26,H2,fresh_core,4,0.9999992208239137,0.0012438728154886257,0.0008146729603844943,1.0
0.0625,niah_single_1,26,H2,old_stale_core,4,0.9999964969218028,0.0026471001955678565,0.007831393879575784,1.0
0.0625,niah_single_1,26,H2,random_reference,4,0.9999938616092304,0.0035096722798578584,0.011539554176520576,1.0
0.0625,niah_single_1,26,H2,snapkv,4,0.9999987866230855,0.0015868576133426827,0.0025584283922565746,1.0
0.0625,niah_single_1,26,H2,v_ridge,4,0.999998581946921,0.0016566774589977698,0.0022378146622009055,1.0
0.0625,niah_single_1,26,H3,aor,4,0.9999992121153605,0.0012382015523974609,0.0005174648655092932,1.0
0.0625,niah_single_1,26,H3,aov,4,0.9999988724245877,0.0015085634821609944,0.0006431929816477238,1.0
0.0625,niah_single_1,26,H3,attention_only,4,0.9999994192880388,0.0010702177853479822,0.0005374664975808008,1.0
0.0625,niah_single_1,26,H3,fresh_core,4,0.9999992083777467,0.0012573104778591177,0.0007634140167598383,1.0
0.0625,niah_single_1,26,H3,old_stale_core,4,0.9999968662919341,0.0024350856547596137,0.007706305466552359,1.0
0.0625,niah_single_1,26,H3,random_reference,4,0.9999954926750025,0.003034836625991976,0.010313084711160133,1.0
0.0625,niah_single_1,26,H3,snapkv,4,0.9999981555798525,0.0018791792699474534,0.0032952323624402145,1.0
0.0625,niah_single_1,26,H3,v_ridge,4,0.9999993303306225,0.0011472279471884702,0.0015148735990279795,1.0
0.125,gov_report,0,H1,aor,4,0.999933046697126,0.011992525420742077,0.01670808884850874,1.0
0.125,gov_report,0,H1,aov,4,0.9999310123066792,0.012223473001307786,0.01707492080397022,1.0
0.125,gov_report,0,H1,attention_only,4,0.999946927257274,0.010621619865782875,0.015799058366298264,1.0
0.125,gov_report,0,H1,fresh_core,4,0.9999810553713504,0.00627361993359776,0.006725423362600836,1.0
0.125,gov_report,0,H1,old_stale_core,4,0.9999395948186491,0.011388269413878195,0.024512878375122695,1.0
0.125,gov_report,0,H1,random_reference,4,0.999945860922598,0.011078729907162396,0.019151799994319627,1.0
0.125,gov_report,0,H1,snapkv,4,0.999923719928233,0.01294056583695917,0.022723339349942393,1.0
0.125,gov_report,0,H1,v_ridge,4,0.9999148884379876,0.013412300680064443,0.022191998132395738,1.0
0.125,gov_report,0,H2,aor,4,0.999933046697126,0.011992525420742077,0.01670808884850874,1.0
0.125,gov_report,0,H2,aov,4,0.9999310123066792,0.012223473001307786,0.01707492080397022,1.0
0.125,gov_report,0,H2,attention_only,4,0.999946927257274,0.010621619865782875,0.015799058366298264,1.0
0.125,gov_report,0,H2,fresh_core,4,0.9999810553713504,0.00627361993359776,0.006725423362600836,1.0
0.125,gov_report,0,H2,old_stale_core,4,0.9999395948186491,0.011388269413878195,0.024512878375122695,1.0
0.125,gov_report,0,H2,random_reference,4,0.999945860922598,0.011078729907162396,0.019151799994319627,1.0
0.125,gov_report,0,H2,snapkv,4,0.999923719928233,0.01294056583695917,0.022723339349942393,1.0
0.125,gov_report,0,H2,v_ridge,4,0.9999148884379876,0.013412300680064443,0.022191998132395738,1.0
0.125,gov_report,0,H3,aor,4,0.9999182526306725,0.01300940790947417,0.017564712690594928,1.0
0.125,gov_report,0,H3,aov,4,0.9999207660010865,0.012900187227311982,0.017718843141901648,1.0
0.125,gov_report,0,H3,attention_only,4,0.9999356749038222,0.01136887035171645,0.016355872456900317,1.0
0.125,gov_report,0,H3,fresh_core,4,0.9999798169270897,0.006426947447037761,0.006381874076591204,1.0
0.125,gov_report,0,H3,old_stale_core,4,0.9999339594554797,0.011714154825188672,0.02540674944548093,1.0
0.125,gov_report,0,H3,random_reference,4,0.9999390799730183,0.011536945433895388,0.01961871568718325,1.0
