method,layer,evaluation_units,mean_projected_relative_error,median_projected_relative_error,p95_projected_relative_error,maximum_projected_relative_error,mean_deleted_attention_mass,mean_relative_error_reduction,win_rate_vs_baseline
contribution_ema_w8,0,64,0.05502997287332781,0.05009392066976208,0.15519288036413056,0.1703053400365032,0.13882187758255415,0.010578622607851588,0.9375
contribution_ema_w8,14,64,0.08753365183220713,0.04797478887390386,0.3425570344238241,0.7518073298482852,0.04142451368343942,0.02271789069599015,0.453125
contribution_ema_w8,27,64,0.0752574068300596,0.055913393941978126,0.19679706593896934,0.33460104436722504,0.17385177125866086,0.04231719453506754,0.6875
contribution_max_w1,-1,192,0.0881001454359696,0.05420799992327746,0.27006715919821894,0.8154752507700755,0.1273851292551159,0.009711434355531673,0.6770833333333334
contribution_max_w1,0,64,0.056809066028538094,0.05128829657344568,0.15468117937741968,0.17470641626692163,0.13985370862007493,0.008799529452641303,0.9375
contribution_max_w1,14,64,0.10966077964354365,0.04551288810622396,0.4123046348631963,0.8154752507700755,0.05219286090603363,0.0005907628846536416,0.390625
contribution_max_w1,27,64,0.09783059063582705,0.07260958508724222,0.3019750592395401,0.45666247188218395,0.1901088182392391,0.019744010729300075,0.703125
contribution_max_w16,-1,192,0.08937457337436287,0.057927693308078954,0.23838222690104427,0.8288388091196573,0.136742517058298,0.008437006417138402,0.4270833333333333
contribution_max_w16,0,64,0.061532778829050755,0.05811117122781758,0.1622636522521305,0.17758487845691628,0.14620568195465078,0.004075816652128644,0.671875
contribution_max_w16,14,64,0.12638422051955112,0.05722766158499219,0.4558958859724337,0.8288388091196573,0.06272742008562247,-0.01613267799135383,0.15625
contribution_max_w16,27,64,0.08020672077448675,0.05022331810683969,0.23730081770557776,0.25870025365843075,0.20129444913462083,0.03736788059064039,0.453125
contribution_max_w4,-1,192,0.07528332950694404,0.05091528665080149,0.19528790541038285,0.744391232607148,0.1220684418056213,0.02252825028455724,0.6302083333333334
contribution_max_w4,0,64,0.05799071273209726,0.053205702144440994,0.14942125381293167,0.16621474292912308,0.14441748343324454,0.0076178827490821464,0.953125
contribution_max_w4,14,64,0.09735359207831348,0.050014071338276234,0.3821283851710453,0.744391232607148,0.04645427787953699,0.01289795044988379,0.359375
contribution_max_w4,27,64,0.07050568371042136,0.0473373302637873,0.19672439814068898,0.3163237905143576,0.1753335641040824,0.04706891765470578,0.578125
contribution_max_w8,-1,192,0.07251347796696873,0.05413401749135905,0.1866339997039726,0.7553265963173567,0.12582987594554218,0.025298101824532532,0.5989583333333334
contribution_max_w8,0,64,0.05989407371970626,0.055747308012788,0.16015617056536796,0.17829313875091513,0.1559234602145291,0.005714521761473142,0.8125
contribution_max_w8,14,64,0.08482723045331587,0.05274510308650542,0.2184427805919224,0.7553265963173567,0.04077926579852385,0.025424312074881408,0.375
contribution_max_w8,27,64,0.07281912972788408,0.04814879932194975,0.19908707064629982,0.3201360028144621,0.18078690182357354,0.044755471637243055,0.609375
contribution_mean_plus_std_w1,-1,192,0.0881001454359696,0.05420799992327746,0.27006715919821894,0.8154752507700755,0.1273851292551159,0.009711434355531673,0.6770833333333334
contribution_mean_plus_std_w1,0,64,0.056809066028538094,0.05128829657344568,0.15468117937741968,0.17470641626692163,0.13985370862007493,0.008799529452641303,0.9375
contribution_mean_plus_std_w1,14,64,0.10966077964354365,0.04551288810622396,0.4123046348631963,0.8154752507700755,0.05219286090603363,0.0005907628846536416,0.390625
contribution_mean_plus_std_w1,27,64,0.09783059063582705,0.07260958508724222,0.3019750592395401,0.45666247188218395,0.1901088182392391,0.019744010729300075,0.703125
contribution_mean_plus_std_w16,-1,192,0.086083389344776,0.053424591640541724,0.24060482167825714,0.8296276186780599,0.1304402819764451,0.011728190446725259,0.5364583333333334
contribution_mean_plus_std_w16,0,64,0.0568898325267328,0.05288179914057689,0.15810086266089665,0.1757423750502313,0.14115030195770226,0.008718762954446601,0.9375
contribution_mean_plus_std_w16,14,64,0.12491690117176049,0.056064685937254416,0.42552335060507585,0.8296276186780599,0.06130608433345888,-0.014665358643563216,0.15625
contribution_mean_plus_std_w16,27,64,0.07644343433583475,0.04729242988266939,0.23820143841860625,0.26497665004538007,0.1888644596381742,0.041131167029292384,0.515625
contribution_mean_plus_std_w4,-1,192,0.07547258921272255,0.05047127901735784,0.19379948547847867,0.7437570012645122,0.12079204298435427,0.022338990578778712,0.6354166666666666
contribution_mean_plus_std_w4,0,64,0.05718127957374843,0.05257758583222391,0.15018513391845892,0.16769459480081414,0.14260744609360865,0.008427315907430975,0.953125
contribution_mean_plus_std_w4,14,64,0.0990928793136094,0.05101059990760688,0.3986811963117902,0.7437570012645122,0.04662543260474909,0.011158663214587888,0.359375
