sample_id,task,layer,head,future_horizon,method,future_topk_recall,mean_step_spearman,decisions
gov_report:86,gov_report,0,4,1,ema_rho_0.5,0.8028860028860028,0.9220262379027974,63
gov_report:86,gov_report,0,4,1,ema_rho_0.8,0.7693362193362192,0.9075530872152576,63
gov_report:86,gov_report,0,4,1,ema_rho_0.9,0.7376623376623376,0.8907597016226836,63
gov_report:86,gov_report,0,4,1,ema_rho_0.95,0.7135642135642134,0.8729265999881769,63
gov_report:86,gov_report,0,4,1,ema_rho_0.99,0.6710678210678209,0.8392329837108874,63
gov_report:86,gov_report,0,4,1,ema_rho_0.995,0.6637085137085138,0.8298669209409077,63
gov_report:86,gov_report,0,4,1,ema_rho_0.999,0.6582972582972584,0.8166730880514159,63
gov_report:86,gov_report,0,4,4,ema_rho_0,0.7835606060606061,0.9089118441458385,60
gov_report:86,gov_report,0,4,4,ema_rho_0.25,0.7900757575757574,0.9197291497405182,60
gov_report:86,gov_report,0,4,4,ema_rho_0.5,0.7893181818181817,0.9218866902365656,60
gov_report:86,gov_report,0,4,4,ema_rho_0.8,0.7615151515151516,0.916397635580529,60
gov_report:86,gov_report,0,4,4,ema_rho_0.9,0.733030303030303,0.9039493095673962,60
gov_report:86,gov_report,0,4,4,ema_rho_0.95,0.7124999999999999,0.8884294447746242,60
gov_report:86,gov_report,0,4,4,ema_rho_0.99,0.6709848484848485,0.8554297656464238,60
gov_report:86,gov_report,0,4,4,ema_rho_0.995,0.6640151515151516,0.84588996629723,60
gov_report:86,gov_report,0,4,4,ema_rho_0.999,0.6582575757575758,0.8323501803409117,60
gov_report:86,gov_report,0,4,16,ema_rho_0,0.7206439393939394,0.8886136595896401,48
gov_report:86,gov_report,0,4,16,ema_rho_0.25,0.7267045454545454,0.9045653753499697,48
gov_report:86,gov_report,0,4,16,ema_rho_0.5,0.7239583333333334,0.910031954325898,48
gov_report:86,gov_report,0,4,16,ema_rho_0.8,0.7006628787878788,0.9062265582827829,48
gov_report:86,gov_report,0,4,16,ema_rho_0.9,0.687215909090909,0.8981041934116242,48
gov_report:86,gov_report,0,4,16,ema_rho_0.95,0.6882575757575758,0.88769412204093,48
gov_report:86,gov_report,0,4,16,ema_rho_0.99,0.653125,0.8615871484228124,48
gov_report:86,gov_report,0,4,16,ema_rho_0.995,0.6474431818181818,0.8537082984237602,48
gov_report:86,gov_report,0,4,16,ema_rho_0.999,0.6426136363636363,0.8423390850538429,48
