sample_id,task,layer,head,future_horizon,method,token_time_choices,choice_fraction
gov_report:87,gov_report,7,0,32,ema_rho_0.995,1358,0.046711612548156305
gov_report:87,gov_report,7,0,32,ema_rho_0.9,3452,0.11873968079251514
gov_report:87,gov_report,7,0,32,ema_rho_0.8,3879,0.13342735277930656
gov_report:87,gov_report,7,0,32,ema_rho_0.25,2246,0.07725646670335719
gov_report:87,gov_report,7,0,32,ema_rho_0.999,3255,0.11196340121078702
gov_report:87,gov_report,7,1,1,ema_rho_0,13484,0.23163608877894593
gov_report:87,gov_report,7,1,1,ema_rho_0.995,3241,0.05567580567580568
gov_report:87,gov_report,7,1,1,ema_rho_0.25,6302,0.10825946540232255
gov_report:87,gov_report,7,1,1,ema_rho_0.5,6555,0.11260564831993404
gov_report:87,gov_report,7,1,1,ema_rho_0.9,4217,0.07244210815639388
gov_report:87,gov_report,7,1,1,ema_rho_0.999,9543,0.16393527107812822
gov_report:87,gov_report,7,1,1,ema_rho_0.95,4802,0.08249158249158249
gov_report:87,gov_report,7,1,1,ema_rho_0.99,4061,0.0697622483336769
gov_report:87,gov_report,7,1,1,ema_rho_0.8,6007,0.10319178176321034
gov_report:87,gov_report,7,1,4,ema_rho_0,12139,0.21931345980126468
gov_report:87,gov_report,7,1,4,ema_rho_0.995,3362,0.06074074074074074
gov_report:87,gov_report,7,1,4,ema_rho_0.999,8613,0.15560975609756098
gov_report:87,gov_report,7,1,4,ema_rho_0.25,5844,0.10558265582655826
gov_report:87,gov_report,7,1,4,ema_rho_0.99,3932,0.07103884372177055
gov_report:87,gov_report,7,1,4,ema_rho_0.5,6323,0.11423667570009033
gov_report:87,gov_report,7,1,4,ema_rho_0.8,5850,0.10569105691056911
gov_report:87,gov_report,7,1,4,ema_rho_0.9,4238,0.07656729900632339
gov_report:87,gov_report,7,1,4,ema_rho_0.95,5049,0.09121951219512195
gov_report:87,gov_report,7,1,16,ema_rho_0,9227,0.20974268048736133
gov_report:87,gov_report,7,1,16,ema_rho_0.9,3719,0.08453809783597017
gov_report:87,gov_report,7,1,16,ema_rho_0.25,4295,0.09763138752500454
gov_report:87,gov_report,7,1,16,ema_rho_0.995,2775,0.06307965084560829
gov_report:87,gov_report,7,1,16,ema_rho_0.95,4323,0.09826786688488816
gov_report:87,gov_report,7,1,16,ema_rho_0.8,4872,0.11074740861974905
