method,layer,evaluation_units,mean_projected_relative_error,median_projected_relative_error,p95_projected_relative_error,maximum_projected_relative_error,mean_deleted_attention_mass,mean_relative_error_reduction,win_rate_vs_baseline
contribution_ema_w1,0,32,0.05929823454327417,0.05320391213293599,0.12765966008851723,0.1783226251158184,0.1503533951635626,0.0029303990892124827,0.78125
contribution_ema_w1,14,32,0.12316843360674702,0.07849139180763064,0.3149404255881318,0.8480655383997399,0.06334838224763283,0.0030146128041694652,0.59375
contribution_ema_w1,27,32,0.10471047356591578,0.05873034424375286,0.3053904759770468,0.4530891250937298,0.21305586237800989,0.02246526906901275,0.78125
contribution_ema_w16,-1,96,0.10277125902515849,0.05342553498184862,0.26671550032245434,0.8591193944021055,0.1429497391209176,0.0024245485342854127,0.65625
contribution_ema_w16,0,32,0.05577253296349463,0.049558985057686356,0.12413989263260108,0.17763295330414303,0.14175254790534045,0.006456100668992033,0.90625
contribution_ema_w16,14,32,0.16626299087112792,0.08202536809233452,0.7145807558647549,0.8591193944021055,0.081555550150688,-0.04007994446021145,0.34375
contribution_ema_w16,27,32,0.08627825324085286,0.06057017270840239,0.20696091535899758,0.2479640292137974,0.20554111930672433,0.040897489394075656,0.71875
contribution_ema_w4,-1,96,0.10311899210101906,0.054161897382910856,0.2666832342073644,0.8591294530267137,0.14466892065956807,0.0020768154584248143,0.6666666666666666
contribution_ema_w4,0,32,0.05637475667449797,0.0531262459925152,0.12360997964261367,0.17237434412186742,0.14698133679991257,0.0058538769579886876,0.875
contribution_ema_w4,14,32,0.16606464578227897,0.08211468741539349,0.7146725227800764,0.8591294530267137,0.0813331182190657,-0.03988159937136248,0.34375
contribution_ema_w4,27,32,0.0869175738462803,0.05585700957621048,0.20351845584518397,0.24811733488800305,0.205692306959726,0.04025816878864823,0.78125
contribution_ema_w8,-1,96,0.10274360638689552,0.05342553498184862,0.26671550032245434,0.8591193944021055,0.14282961574483885,0.002452201172548365,0.65625
contribution_ema_w8,0,32,0.05577253296349463,0.049558985057686356,0.12413989263260108,0.17763295330414303,0.14175254790534045,0.006456100668992033,0.90625
contribution_ema_w8,14,32,0.16626299087112792,0.08202536809233452,0.7145807558647549,0.8591193944021055,0.081555550150688,-0.04007994446021145,0.34375
contribution_ema_w8,27,32,0.08619529532606401,0.06057017270840239,0.206947831763956,0.2479640292137974,0.20518074917848814,0.04098044730886452,0.71875
contribution_max_w1,-1,96,0.0957257139053123,0.05355650090237161,0.2609625011920967,0.8480655383997399,0.14225254659640177,0.009470093654131565,0.71875
contribution_max_w1,0,32,0.05929823454327417,0.05320391213293599,0.12765966008851723,0.1783226251158184,0.1503533951635626,0.0029303990892124827,0.78125
contribution_max_w1,14,32,0.12316843360674702,0.07849139180763064,0.3149404255881318,0.8480655383997399,0.06334838224763283,0.0030146128041694652,0.59375
