task,method,width,refresh_interval,decision_units,median_spearman,mean_pairwise_accuracy,mean_top1_accuracy,mean_normalized_regret,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
gov_report,margin_vjp_action,4,2,14,0.7500000000000001,0.721938775510204,0.21428571428571427,0.05001835213327159,-0.0714285714285714,-0.06377551020408163,-0.07142857142857142,-0.014459157111388062
gov_report,margin_vjp_action,4,4,14,0.6071428571428572,0.6989795918367347,0.21428571428571427,0.18567462537348453,-0.11904761904761896,-0.08673469387755102,-0.07142857142857142,-0.15011543035160102
gov_report,margin_vjp_action,4,8,14,0.7142857142857144,0.6862244897959184,0.21428571428571427,0.20063553212248794,-0.07142857142857145,-0.09948979591836735,-0.07142857142857142,-0.16507633710060446
gov_report,margin_vjp_action,8,1,14,0.7261904761904763,0.7551020408163265,0.2857142857142857,0.03579508846819832,-0.0357142857142858,-0.03061224489795918,0.0,-0.000235893446314798
gov_report,margin_vjp_action,8,2,14,0.7500000000000001,0.7653061224489796,0.35714285714285715,0.033569185094643565,-0.02380952380952378,-0.02040816326530612,0.07142857142857142,0.0019900099272399598
gov_report,margin_vjp_action,8,4,14,0.5119047619047621,0.6581632653061226,0.2857142857142857,0.11995976909042363,-0.20238095238095247,-0.12755102040816324,0.0,-0.0844005740685401
gov_report,margin_vjp_action,8,8,14,0.642857142857143,0.6811224489795918,0.2857142857142857,0.20058379637812346,-0.07142857142857145,-0.10459183673469387,0.0,-0.16502460135623995
gov_report,margin_vjp_action,16,1,14,0.6785714285714287,0.7346938775510204,0.2857142857142857,0.03579508846819832,-0.11904761904761901,-0.0510204081632653,0.0,-0.000235893446314798
gov_report,margin_vjp_action,16,2,14,0.6190476190476191,0.6989795918367346,0.2857142857142857,0.0341641555369841,-0.13095238095238088,-0.08673469387755099,0.0,0.0013950394848994269
gov_report,margin_vjp_action,16,4,14,0.5000000000000001,0.6352040816326531,0.21428571428571427,0.16267485548216834,-0.20238095238095244,-0.15051020408163263,-0.07142857142857142,-0.12711566046028477
gov_report,margin_vjp_action,16,8,14,0.6071428571428572,0.6989795918367347,0.2857142857142857,0.17775014650156953,-0.09523809523809529,-0.08673469387755099,0.0,-0.142190951479686
gov_report,output_fisher_oracle,4,1,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,4,2,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,4,4,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,4,8,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,8,1,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,8,2,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,8,4,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,8,8,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,16,1,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,16,2,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,16,4,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
gov_report,output_fisher_oracle,16,8,14,1.0,0.9846938775510203,0.9285714285714286,3.1375774200088297e-07,0.19047619047619035,0.19897959183673472,0.6428571428571429,0.03555888126414152
niah_single_1,entropy_vjp_action,4,1,14,0.33333333333333337,0.6301020408163265,0.21428571428571427,0.37642380974211875,-0.29761904761904767,-0.045918367346938785,-0.07142857142857142,-0.022915070018321552
niah_single_1,entropy_vjp_action,4,2,14,0.5238095238095238,0.6096938775510203,0.21428571428571427,0.5087710500909667,-0.1071428571428572,-0.0663265306122449,-0.07142857142857142,-0.15526231036716945
niah_single_1,entropy_vjp_action,4,4,14,0.2380952380952381,0.6020408163265306,0.2857142857142857,0.49873790064537854,-0.38095238095238104,-0.07397959183673472,0.0,-0.14522916092158122
niah_single_1,entropy_vjp_action,4,8,14,0.511904761904762,0.6403061224489797,0.2857142857142857,0.4615132970215314,-0.05952380952380956,-0.03571428571428572,0.0,-0.1080045572977341
niah_single_1,entropy_vjp_action,8,1,14,0.33333333333333337,0.6301020408163265,0.21428571428571427,0.37642380974211875,-0.29761904761904767,-0.045918367346938785,-0.07142857142857142,-0.022915070018321552
niah_single_1,entropy_vjp_action,8,2,14,0.5238095238095238,0.6096938775510203,0.21428571428571427,0.5087710500909667,-0.1071428571428572,-0.0663265306122449,-0.07142857142857142,-0.15526231036716945
niah_single_1,entropy_vjp_action,8,4,14,0.2380952380952381,0.6020408163265306,0.2857142857142857,0.49873790064537854,-0.38095238095238104,-0.07397959183673472,0.0,-0.14522916092158122
niah_single_1,entropy_vjp_action,8,8,14,0.511904761904762,0.6403061224489797,0.2857142857142857,0.4615132970215314,-0.05952380952380956,-0.03571428571428572,0.0,-0.1080045572977341
niah_single_1,entropy_vjp_action,16,1,14,0.33333333333333337,0.6301020408163265,0.21428571428571427,0.37642380974211875,-0.29761904761904767,-0.045918367346938785,-0.07142857142857142,-0.022915070018321552
niah_single_1,entropy_vjp_action,16,2,14,0.5238095238095238,0.6096938775510203,0.21428571428571427,0.5087710500909667,-0.1071428571428572,-0.0663265306122449,-0.07142857142857142,-0.15526231036716945
niah_single_1,entropy_vjp_action,16,4,14,0.2380952380952381,0.6020408163265306,0.2857142857142857,0.49873790064537854,-0.38095238095238104,-0.07397959183673472,0.0,-0.14522916092158122
niah_single_1,entropy_vjp_action,16,8,14,0.511904761904762,0.6403061224489797,0.2857142857142857,0.4615132970215314,-0.05952380952380956,-0.03571428571428572,0.0,-0.1080045572977341
niah_single_1,fisher_gaussian_vjp_action,4,1,14,0.5714285714285715,0.6734693877551022,0.2857142857142857,0.25285166058869624,-0.047619047619047616,-0.002551020408163288,0.0,0.10065707913510105
niah_single_1,fisher_gaussian_vjp_action,4,2,14,0.511904761904762,0.6352040816326531,0.21428571428571427,0.4154711467706816,-0.0952380952380953,-0.040816326530612256,-0.07142857142857142,-0.06196240704688422
