sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,protected_attention_rescue_m8_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
synthetic_niah_18,niah_single_1,32,9,3.900093361153267e-06,4.201519459456904e-06,False,False,-3.0142609830363654e-07,non_tail,unchanged
synthetic_niah_20,niah_single_1,32,7,1.5262310171237914e-06,1.8020549532593577e-06,False,False,-2.7582393613556633e-07,non_tail,unchanged
gov_report:20,gov_report,32,1,1.653081227459552e-07,4.385727265798778e-07,False,False,-2.732646038339226e-07,non_tail,unchanged
synthetic_niah_18,niah_single_1,48,10,3.009738236414705e-07,5.245663032837911e-07,False,False,-2.2359247964232054e-07,non_tail,unchanged
synthetic_niah_18,niah_single_1,16,1,1.3668225165019976e-06,1.5704385987191927e-06,False,False,-2.0361608221719507e-07,non_tail,unchanged
synthetic_niah_18,niah_single_1,48,1,9.96801418295945e-07,1.1663124723781948e-06,False,False,-1.6951105408224976e-07,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,1,1.4448634999553178e-07,2.8060574663868465e-07,False,False,-1.3611939664315287e-07,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,4,8.979884000837046e-07,1.0035081459136563e-06,False,False,-1.0551974582995172e-07,non_tail,unchanged
synthetic_niah_18,niah_single_1,16,4,3.8558974324587325e-07,4.4399163812158804e-07,False,False,-5.840189487571479e-08,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,3,2.571464108314103e-07,3.091065821081429e-07,False,False,-5.196017127673258e-08,non_tail,unchanged
gov_report:19,gov_report,48,2,4.1296868857898517e-07,4.4282097633185913e-07,False,False,-2.985228775287396e-08,non_tail,unchanged
synthetic_niah_18,niah_single_1,48,2,7.35998867185117e-07,7.353918363151024e-07,False,False,6.070308700145688e-10,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,2,1.2290955737626064e-06,1.2242462616995908e-06,False,False,4.849312063015532e-09,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,6,1.0150854734547465e-07,1.8371578036635583e-08,False,False,8.313696930883907e-08,non_tail,unchanged
synthetic_niah_18,niah_single_1,16,3,4.6455383539978357e-07,3.504366645756818e-07,False,False,1.1411717082410178e-07,non_tail,unchanged
synthetic_niah_18,niah_single_1,16,2,1.2862100220445427e-06,1.150592538579076e-06,False,False,1.3561748346546665e-07,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,5,5.006949663766136e-07,3.0818603136140155e-07,False,False,1.9250893501521205e-07,non_tail,unchanged
synthetic_niah_19,niah_single_1,16,4,1.3579203539393347e-07,-8.445677934787454e-08,False,False,2.2024881474180802e-07,non_tail,unchanged
gov_report:19,gov_report,48,3,5.242668521532323e-06,4.778011771122692e-06,False,False,4.6465675040963106e-07,non_tail,unchanged
gov_report:18,gov_report,32,2,0.00010551475133979693,0.00010477825708221644,False,False,7.364942575804889e-07,non_tail,unchanged
synthetic_niah_18,niah_single_1,48,9,9.906010745908134e-06,6.530958671646658e-06,False,False,3.3750520742614754e-06,non_tail,unchanged
synthetic_niah_20,niah_single_1,16,12,0.0027522139716893435,0.002748135942965746,False,False,4.0780287235975266e-06,non_tail,unchanged
gov_report:18,gov_report,32,4,2.472872074577026e-05,1.855783921200782e-05,False,False,6.17088153376244e-06,non_tail,unchanged
gov_report:18,gov_report,32,1,6.403193401638418e-05,5.5061322200344875e-05,False,False,8.970611816039309e-06,non_tail,unchanged
gov_report:20,gov_report,16,6,3.107287921011448e-05,1.9446775695541874e-05,False,False,1.1626103514572605e-05,non_tail,unchanged
synthetic_niah_18,niah_single_1,32,16,0.00010862462659133598,9.24122505239211e-05,False,False,1.621237606741488e-05,non_tail,unchanged
synthetic_niah_20,niah_single_1,48,15,0.00017223552276846021,0.00014627403288614005,False,False,2.5961489882320166e-05,non_tail,unchanged
gov_report:19,gov_report,16,11,0.0003517598088365048,0.0003238531935494393,False,False,2.7906615287065506e-05,non_tail,unchanged
gov_report:19,gov_report,16,7,0.002258771564811468,0.002219591988250613,False,False,3.917957656085491e-05,non_tail,unchanged
