method,method_family,causal,learned,rollout,counterfactual,future_horizon,future_recall,oracle_gap_recovery,recovery_ci_low,recovery_ci_high,spearman,pairwise_accuracy,ndcg,sequence_win_rate,closed_loop_kl,task_score,runtime_multiplier,peak_memory,test_split
feature_gbdt_B_current_query,feature_ablation,True,True,False,False,32,0.6966157106782107,-0.02366099729247937,-0.038604021315791735,-0.008900668376759971,0.7658152205185664,0.7947761360338593,0.7616356480302933,0.3333333333333333,,,1.1472536180706083,,validation
feature_gbdt_A_history_J_statekv,feature_ablation,True,True,False,False,32,0.6945470328282829,-0.03365169455482145,-0.0513983996613676,-0.016175357139789043,0.7590840950695665,0.7907247707815388,0.7670230462443555,0.23809523809523808,,,1.8701540318290963,,validation
feature_ridge_H_query_trajectory,feature_ablation,True,True,False,False,32,0.6889227092352093,-0.03420135625955163,-0.053226692976750825,-0.015813263506922713,0.7524937619150034,0.788715022401986,0.8076442420302987,0.23809523809523808,,,1.0100661057370068,,validation
feature_ridge_F_current_state,feature_ablation,True,True,False,False,32,0.6886938582251082,-0.03514227336783459,-0.053952177187587005,-0.01673703311323534,0.7522095234789198,0.7885594448252891,0.8075385039565433,0.19047619047619047,,,1.0093583488896274,,validation
ridge,classical_predictor,True,True,False,False,32,0.6884571158008658,-0.039071626916215865,-0.05946673202457456,-0.019474962919836834,0.7519028829057495,0.7884120285184063,0.8074424783928429,0.19047619047619047,,,1.007011790946794,,validation
feature_ridge_B_current_query,feature_ablation,True,True,False,False,32,0.6926034902597402,-0.03930843255054647,-0.05819001957042784,-0.020679506470675735,0.7563190265697689,0.7911522376357603,0.8069254643316419,0.14285714285714285,,,1.013079282039287,,validation
feature_ridge_A_history_J_statekv,feature_ablation,True,True,False,False,32,0.6926271645021644,-0.03943094869319578,-0.0585673134943597,-0.0205203809341053,0.7564462027910178,0.791183841966934,0.8068936267047856,0.14285714285714285,,,1.0559136743098694,,validation
feature_ridge_I_global_full,feature_ablation,True,True,False,False,32,0.6883612914862913,-0.04022547960276409,-0.06071038219945675,-0.0204596344938299,0.7518296155719254,0.7883404474902895,0.8073858049329624,0.19047619047619047,,,1.0098951507652814,,validation
feature_ridge_E_value_state,feature_ablation,True,True,False,False,32,0.6866544913419913,-0.0456071866479396,-0.06567711101292259,-0.026338981862658994,0.7501556018691092,0.7874880528003667,0.8069435762241962,0.14285714285714285,,,1.0085703733273248,,validation
feature_ridge_D_qk_geometry,feature_ablation,True,True,False,False,32,0.6882316468253968,-0.050191775368437046,-0.07199695013161686,-0.029505258408015614,0.7522379006206823,0.7886299186318902,0.8071055406612937,0.09523809523809523,,,1.0099634863124831,,validation
temporal_gru_utility,temporal_predictor,True,True,False,False,32,0.653710091991342,-0.0527723128971939,-0.09222486454509558,-0.014664363266620146,0.7412720065302935,0.7837102816833789,0.7876605646256254,0.38095238095238093,,,1.2075454141902633,,validation
feature_ridge_C_token_key,feature_ablation,True,True,False,False,32,0.6842532467532466,-0.0645860063511259,-0.08653580963065831,-0.04296042491936872,0.7470113156477,0.7860965234209609,0.8047019468385199,0.09523809523809523,,,1.0109020812288032,,validation
history_logistic,classical_predictor,True,True,False,False,32,0.6849995490620491,-0.08262771649314088,-0.10785564575557845,-0.0571688053891936,0.7515928675876555,0.7885644074603682,0.7815926277877212,0.14285714285714285,,,1.009092172660515,,validation
