comparison,split,task,projection_dimension,projection_seed,decay,decision_units,sequences,median_spearman_gain,mean_pairwise_accuracy_gain,mean_top1_accuracy_gain,mean_normalized_regret_gain
recursive_vs_action,replication,all,64,42,0.5,744,8,-0.010434782608695643,-0.0058633317749727295,-0.009408602150537635,-0.007975531176822884
recursive_vs_action,replication,all,64,42,0.8,744,8,-0.013913043478260834,-0.009754363409693002,-0.024193548387096774,-0.012366871576817774
recursive_vs_action,replication,all,64,42,0.95,744,8,-0.021739130434782573,-0.01515992675705158,-0.024193548387096774,-0.013359333813552995
recursive_vs_action,replication,all,64,42,1.0,744,8,-0.026956521739130428,-0.0180721131369799,-0.024193548387096774,-0.013770591080251686
recursive_vs_action,replication,all,128,42,0.5,744,8,-0.005217391304347837,-0.005405563347358577,-0.010752688172043012,-0.0070752103436875
recursive_vs_action,replication,all,128,42,0.8,744,8,-0.012173913043478236,-0.007587268193860058,-0.025537634408602152,-0.016396297024081092
recursive_vs_action,replication,all,128,42,0.95,744,8,-0.019565217391304346,-0.012291569269128874,-0.02956989247311828,-0.024137696459427718
recursive_vs_action,replication,all,128,42,1.0,744,8,-0.023478260869565205,-0.01574918186068256,-0.030913978494623656,-0.027657907255000974
recursive_vs_action,replication,gov_report,16,42,0.5,372,4,-0.022608695652173896,-0.009515739442106904,-0.005376344086021506,-0.020838563098455887
recursive_vs_action,replication,gov_report,16,42,0.8,372,4,-0.028260869565217395,-0.014229780271154745,-0.008064516129032258,-0.038242676672721125
recursive_vs_action,replication,gov_report,16,42,0.95,372,4,-0.032173913043478275,-0.019177575190899174,-0.005376344086021506,-0.04251298565824809
recursive_vs_action,replication,gov_report,16,42,1.0,372,4,-0.02913043478260871,-0.021203443976936267,-0.013440860215053764,-0.05497959844105681
recursive_vs_action,replication,gov_report,32,42,0.5,372,4,-0.0017391304347825903,-0.005931510051425901,-0.01881720430107527,-0.012802605800455976
recursive_vs_action,replication,gov_report,32,42,0.8,372,4,-0.010434782608695597,-0.006924964936886396,-0.013440860215053764,-0.024952922483535023
recursive_vs_action,replication,gov_report,32,42,0.95,372,4,-0.016956521739130453,-0.011424731182795694,-0.010752688172043012,-0.020944195773564836
recursive_vs_action,replication,gov_report,32,42,1.0,372,4,-0.025217391304347775,-0.014327177808944989,-0.013440860215053764,-0.024659435341224816
recursive_vs_action,replication,gov_report,64,42,0.5,372,4,-0.0060869565217391355,-0.004217313386317594,-0.016129032258064516,-0.011747599954340054
recursive_vs_action,replication,gov_report,64,42,0.8,372,4,-0.014782608695652233,-0.008327489481065918,-0.03225806451612903,-0.018017427338966118
recursive_vs_action,replication,gov_report,64,42,0.95,372,4,-0.016086956521739165,-0.011298114383668378,-0.02956989247311828,-0.023338825663865546
recursive_vs_action,replication,gov_report,64,42,1.0,372,4,-0.01913043478260866,-0.012281829515349856,-0.03494623655913978,-0.02655701835228478
recursive_vs_action,replication,gov_report,128,42,0.5,372,4,-0.0026086956521738924,-0.0035744896369019775,-0.016129032258064516,-0.010477149020627616
recursive_vs_action,replication,gov_report,128,42,0.8,372,4,-0.011739130434782606,-0.00578541374474053,-0.026881720430107527,-0.02592940046163597
recursive_vs_action,replication,gov_report,128,42,0.95,372,4,-0.013043478260869532,-0.008308009973507868,-0.03763440860215054,-0.04201693064646899
recursive_vs_action,replication,gov_report,128,42,1.0,372,4,-0.016956521739130426,-0.010236481221754716,-0.03763440860215054,-0.04279367470257361
recursive_vs_action,replication,niah_single_1,16,42,0.5,372,4,-0.009565217391304337,-0.008054776375253234,-0.01881720430107527,-0.0274528873637149
recursive_vs_action,replication,niah_single_1,16,42,0.8,372,4,-0.026092629449178516,-0.013655134798192302,-0.02956989247311828,-0.02826226179881449
recursive_vs_action,replication,niah_single_1,16,42,0.95,372,4,-0.03610247771488978,-0.022294296400187007,-0.03225806451612903,-0.0346975203458967
recursive_vs_action,replication,niah_single_1,16,42,1.0,372,4,-0.05089152202721428,-0.028128408913822654,-0.03494623655913978,-0.034734332183867775
recursive_vs_action,replication,niah_single_1,32,42,0.5,372,4,-0.015653875791275362,-0.01164874551971326,-0.024193548387096774,-0.013821183603597503
recursive_vs_action,replication,niah_single_1,32,42,0.8,372,4,-0.01478260869565217,-0.016606280193236712,-0.026881720430107527,-0.022347466671310243
