name,family,specification,auroc,auprc,order,feature_count,harmful_recall,refresh_coverage,missed_normalized_regret,missed_event_count,harmful_event_count,task_recall
token_age_mean_lt_962,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_mean"", ""threshold"": 962.0}",0.4115144639818491,0.4333694456699145,0,1,0.926829268292683,0.9285714285714286,0.0431096789242706,3,41,"{""gov_report"": 1.0, ""niah_single_1"": 0.8695652173913043}"
token_age_std_gt_380.5377,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 380.53769524187743}",0.5884855360181509,0.5560411709955795,0,1,0.975609756097561,0.9285714285714286,0.012684498852674916,1,41,"{""gov_report"": 0.9444444444444444, ""niah_single_1"": 1.0}"
token_age_std_gt_381.22909,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 381.22908879918026}",0.5884855360181509,0.5560411709955795,0,1,0.926829268292683,0.8928571428571429,0.05944761785307949,3,41,"{""gov_report"": 0.8333333333333334, ""niah_single_1"": 1.0}"
token_age_std_gt_383.56258,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 383.5625763809603}",0.5884855360181509,0.5560411709955795,0,1,0.8536585365853658,0.8214285714285714,0.09448710662543881,6,41,"{""gov_report"": 0.6666666666666666, ""niah_single_1"": 1.0}"
token_age_std_gt_387.0197,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 387.01970234084985}",0.5884855360181509,0.5560411709955795,0,1,0.8292682926829268,0.7857142857142857,0.11750924063989523,7,41,"{""gov_report"": 0.6111111111111112, ""niah_single_1"": 1.0}"
token_age_std_gt_399.76895,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 399.7689518516745}",0.5884855360181509,0.5560411709955795,0,1,0.7560975609756098,0.75,0.1709865176151902,10,41,"{""gov_report"": 0.4444444444444444, ""niah_single_1"": 1.0}"
token_age_std_gt_402.14604,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 402.1460400153158}",0.5884855360181509,0.5560411709955795,0,1,0.7560975609756098,0.6785714285714286,0.1709865176151902,10,41,"{""gov_report"": 0.4444444444444444, ""niah_single_1"": 1.0}"
token_age_std_gt_402.62147,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 402.62147484455204}",0.5884855360181509,0.5560411709955795,0,1,0.7073170731707317,0.6428571428571429,0.21363803571219744,12,41,"{""gov_report"": 0.3333333333333333, ""niah_single_1"": 1.0}"
token_age_std_gt_405.17157,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 405.17156859779783}",0.5884855360181509,0.5560411709955795,0,1,0.6585365853658537,0.5714285714285714,0.23983521999056387,14,41,"{""gov_report"": 0.2222222222222222, ""niah_single_1"": 1.0}"
token_age_std_gt_408.62942,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 408.62941646435587}",0.5884855360181509,0.5560411709955795,0,1,0.6097560975609756,0.5357142857142857,0.27008367582377074,16,41,"{""gov_report"": 0.1111111111111111, ""niah_single_1"": 1.0}"
token_age_std_gt_474.35572,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 474.35572006709884}",0.5884855360181509,0.5560411709955795,0,1,0.5609756097560976,0.5,0.30234938547003437,18,41,"{""gov_report"": 0.0, ""niah_single_1"": 1.0}"
token_age_std_gt_533.59857,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 533.5985733676581}",0.5884855360181509,0.5560411709955795,0,1,0.4878048780487805,0.42857142857142855,0.3398141708875802,21,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.8695652173913043}"
token_age_std_gt_534.03113,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 534.0311320513065}",0.5884855360181509,0.5560411709955795,0,1,0.43902439024390244,0.35714285714285715,0.37321576382928195,23,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.782608695652174}"
token_age_std_gt_534.44206,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 534.442063499297}",0.5884855360181509,0.5560411709955795,0,1,0.43902439024390244,0.35714285714285715,0.37321576382928195,23,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.782608695652174}"
token_age_std_gt_534.89625,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 534.8962516226861}",0.5884855360181509,0.5560411709955795,0,1,0.2926829268292683,0.25,0.4480453981196896,29,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.5217391304347826}"
token_age_std_gt_535.11253,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 535.1125322472594}",0.5884855360181509,0.5560411709955795,0,1,0.2926829268292683,0.25,0.4480453981196896,29,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.5217391304347826}"
token_age_std_gt_536.6265,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 536.6264995320302}",0.5884855360181509,0.5560411709955795,0,1,0.1951219512195122,0.17857142857142858,0.5336117823839511,33,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.34782608695652173}"
token_age_std_gt_537.49163,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 537.491627841774}",0.5884855360181509,0.5560411709955795,0,1,0.17073170731707318,0.14285714285714285,0.5559799327724514,34,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.30434782608695654}"
token_age_std_gt_540.69263,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 540.6926278598304}",0.5884855360181509,0.5560411709955795,0,1,0.14634146341463414,0.10714285714285714,0.5759568648075906,35,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.2608695652173913}"
token_age_std_gt_547.00823,single_threshold,"{""direction"": ""gt"", ""feature"": ""token_age_std"", ""threshold"": 547.0082266291797}",0.5884855360181509,0.5560411709955795,0,1,0.0,0.03571428571428571,0.689712739647594,41,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.0}"
token_age_std_lt_380.5377,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 380.53769524187743}",0.4115144639818491,0.4333694456699145,0,1,0.0,0.03571428571428571,0.689712739647594,41,41,"{""gov_report"": 0.0, ""niah_single_1"": 0.0}"
token_age_std_lt_381.22909,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 381.22908879918026}",0.4115144639818491,0.4333694456699145,0,1,0.07317073170731707,0.10714285714285714,0.6302651217945145,38,41,"{""gov_report"": 0.16666666666666666, ""niah_single_1"": 0.0}"
token_age_std_lt_383.56258,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 383.5625763809603}",0.4115144639818491,0.4333694456699145,0,1,0.0975609756097561,0.14285714285714285,0.6255656454121831,37,41,"{""gov_report"": 0.2222222222222222, ""niah_single_1"": 0.0}"
token_age_std_lt_387.0197,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 387.01970234084985}",0.4115144639818491,0.4333694456699145,0,1,0.14634146341463414,0.17857142857142858,0.5952256330221551,35,41,"{""gov_report"": 0.3333333333333333, ""niah_single_1"": 0.0}"
token_age_std_lt_399.76895,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 399.7689518516745}",0.4115144639818491,0.4333694456699145,0,1,0.24390243902439024,0.25,0.5187262220324037,31,41,"{""gov_report"": 0.5555555555555556, ""niah_single_1"": 0.0}"
token_age_std_lt_402.14604,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 402.1460400153158}",0.4115144639818491,0.4333694456699145,0,1,0.24390243902439024,0.2857142857142857,0.5187262220324037,31,41,"{""gov_report"": 0.5555555555555556, ""niah_single_1"": 0.0}"
token_age_std_lt_402.62147,single_threshold,"{""direction"": ""lt"", ""feature"": ""token_age_std"", ""threshold"": 402.62147484455204}",0.4115144639818491,0.4333694456699145,0,1,0.2926829268292683,0.35714285714285715,0.4760747039353965,29,41,"{""gov_report"": 0.6666666666666666, ""niah_single_1"": 0.0}"
