scope_type,scope_value,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio,spearman_delta_vs_action,spearman_delta_vs_p1,spearman_gap_from_full,pairwise_gain_vs_action,top1_gain_vs_action,normalized_regret_gain_vs_action,normalized_regret_degradation_vs_full
sequence,gov_report:84,full_state_local,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.239313546630035,0.25,0.5476190476190477,0.0,0.1964285714285714,1.0,0.05131113565829984,0.0
sequence,gov_report:84,gradient_fisher_updated,0.9047619047619048,0.8928571428571429,1.0,0.5,0.0,0.5356158078891311,0.22619047619047605,0.5238095238095237,0.023809523809523947,0.1607142857142857,1.0,0.05131113565829984,0.0
sequence,gov_report:84,gradient_jacobian_updated,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.5592571448502324,0.25,0.5476190476190477,0.0,0.1964285714285714,1.0,0.05131113565829984,0.0
sequence,gov_report:84,gradient_updated_only,0.8690476190476191,0.875,1.0,0.5,0.0,0.5493497664385759,0.19047619047619035,0.488095238095238,0.059523809523809645,0.1428571428571428,1.0,0.05131113565829984,0.0
sequence,gov_report:84,jacobian_fisher_updated,0.4404761904761906,0.6607142857142857,1.0,0.5,0.0,0.132829014457781,-0.23809523809523814,0.059523809523809534,0.48809523809523814,-0.07142857142857151,1.0,0.05131113565829984,0.0
sequence,gov_report:84,jacobian_updated_only,0.8928571428571429,0.8928571428571429,1.0,0.5,0.0,0.36287844568321403,0.2142857142857142,0.5119047619047619,0.03571428571428581,0.1607142857142857,1.0,0.05131113565829984,0.0
sequence,gov_report:84,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.29633422278090593,0.3214285714285713,0.619047619047619,-0.07142857142857129,0.2678571428571428,1.0,0.05131113565829984,0.0
sequence,gov_report:84,p1_reference_state_fisher,0.38095238095238104,0.6785714285714286,1.0,0.5,0.0,0.3199591482052664,-0.29761904761904767,0.0,0.5476190476190477,-0.0535714285714286,1.0,0.05131113565829984,0.0
sequence,gov_report:84,reference_action_fisher,0.6785714285714287,0.7321428571428572,0.0,0.75,0.05131113565829984,0.0713763421148926,0.0,0.29761904761904767,0.25,0.0,0.0,0.0,0.05131113565829984
sequence,gov_report:85,fisher_updated_only,1.0,1.0,1.0,1.0,0.0,0.5242739204898578,0.23809523809523792,0.023809523809523725,0.0,0.2142857142857143,1.0,0.041691809500358876,0.0
sequence,gov_report:85,full_state_local,1.0,1.0,1.0,1.0,0.0,0.494451418183799,0.23809523809523792,0.023809523809523725,0.0,0.2142857142857143,1.0,0.041691809500358876,0.0
sequence,gov_report:85,gradient_fisher_updated,1.0,1.0,1.0,1.0,0.0,0.3367911059536881,0.23809523809523792,0.023809523809523725,0.0,0.2142857142857143,1.0,0.041691809500358876,0.0
sequence,gov_report:85,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.5537747719251306,0.23809523809523792,0.023809523809523725,0.0,0.2142857142857143,1.0,0.041691809500358876,0.0
sequence,gov_report:85,gradient_updated_only,0.9880952380952381,0.9821428571428572,1.0,1.0,0.0,0.38476874077953904,0.22619047619047605,0.011904761904761862,0.011904761904761862,0.1964285714285715,1.0,0.041691809500358876,0.0
sequence,gov_report:85,jacobian_fisher_updated,1.0,1.0,1.0,1.0,0.0,0.5801264101513204,0.23809523809523792,0.023809523809523725,0.0,0.2142857142857143,1.0,0.041691809500358876,0.0
sequence,gov_report:85,jacobian_updated_only,1.0,1.0,1.0,1.0,0.0,0.6563329488308517,0.23809523809523792,0.023809523809523725,0.0,0.2142857142857143,1.0,0.041691809500358876,0.0
sequence,gov_report:85,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.6936275544361736,0.23809523809523792,0.023809523809523725,0.0,0.2142857142857143,1.0,0.041691809500358876,0.0
sequence,gov_report:85,p1_reference_state_fisher,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.5515378215175751,0.2142857142857142,0.0,0.023809523809523725,0.1785714285714286,1.0,0.041691809500358876,0.0
sequence,gov_report:85,reference_action_fisher,0.7619047619047621,0.7857142857142857,0.0,0.0,0.041691809500358876,0.14125812974532126,0.0,-0.2142857142857142,0.23809523809523792,0.0,0.0,0.0,0.041691809500358876
sequence,synthetic_niah_84,fisher_updated_only,0.9523809523809526,0.9464285714285714,1.0,1.0,0.0,0.19194096911180164,0.19047619047619047,0.023809523809523836,0.04761904761904745,0.1428571428571428,1.0,0.024382848213758804,0.0
sequence,synthetic_niah_84,full_state_local,1.0,1.0,1.0,1.0,0.0,0.20087781979854702,0.23809523809523792,0.07142857142857129,0.0,0.1964285714285714,1.0,0.024382848213758804,0.0
sequence,synthetic_niah_84,gradient_fisher_updated,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.1891653168306266,0.2142857142857142,0.04761904761904756,0.023809523809523725,0.1607142857142857,1.0,0.024382848213758804,0.0
sequence,synthetic_niah_84,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.20423386839165847,0.23809523809523792,0.07142857142857129,0.0,0.1964285714285714,1.0,0.024382848213758804,0.0
sequence,synthetic_niah_84,gradient_updated_only,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.1921962300302762,0.2142857142857142,0.04761904761904756,0.023809523809523725,0.1607142857142857,1.0,0.024382848213758804,0.0
sequence,synthetic_niah_84,jacobian_fisher_updated,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.20156081868999,0.2142857142857142,0.04761904761904756,0.023809523809523725,0.1607142857142857,1.0,0.024382848213758804,0.0
sequence,synthetic_niah_84,jacobian_updated_only,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.2049026235631484,0.2142857142857142,0.04761904761904756,0.023809523809523725,0.1607142857142857,1.0,0.024382848213758804,0.0
