stratum_type,stratum_json,task,score_type,spearman,pairwise_sign_accuracy,top1_accuracy,topk_overlap,normalized_regret,symmetric_scale_ratio,spearman_delta_vs_action,spearman_delta_vs_p1,spearman_gap_from_full,layer,history_id
layer,"{""layer"": 26}",,p1_reference_state_fisher,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.05715153282806425,0.1785714285714286,0.0,0.07142857142857129,26.0,
layer,"{""layer"": 26}",,reference_action_fisher,0.7500000000000001,0.7857142857142857,0.0,0.5,0.07185956282785051,0.017478205555118503,0.0,-0.1785714285714286,0.2499999999999999,26.0,
history,"{""history_id"": ""H1""}",,fisher_updated_only,0.9047619047619048,0.8928571428571429,1.0,1.0,0.0,0.19378175541519843,0.22619047619047605,0.0,0.09523809523809523,,H1
history,"{""history_id"": ""H1""}",,full_state_local,1.0,1.0,1.0,1.0,0.0,0.2188297522466212,0.3214285714285713,0.09523809523809523,0.0,,H1
history,"{""history_id"": ""H1""}",,gradient_fisher_updated,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.19107648500118385,0.25,0.023809523809523947,0.07142857142857129,,H1
history,"{""history_id"": ""H1""}",,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.23480239377338347,0.3214285714285713,0.09523809523809523,0.0,,H1
history,"{""history_id"": ""H1""}",,gradient_updated_only,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.2286133237057471,0.25,0.023809523809523947,0.07142857142857129,,H1
history,"{""history_id"": ""H1""}",,jacobian_fisher_updated,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.1493489156956152,0.26190476190476186,0.03571428571428581,0.05952380952380942,,H1
history,"{""history_id"": ""H1""}",,jacobian_updated_only,0.9523809523809526,0.9464285714285714,1.0,1.0,0.0,0.18050634658005815,0.27380952380952384,0.04761904761904778,0.04761904761904745,,H1
history,"{""history_id"": ""H1""}",,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.26636247658398615,0.3214285714285713,0.09523809523809523,0.0,,H1
history,"{""history_id"": ""H1""}",,p1_reference_state_fisher,0.9047619047619048,0.8928571428571429,1.0,1.0,0.0,0.1926408115571684,0.22619047619047605,0.0,0.09523809523809523,,H1
history,"{""history_id"": ""H1""}",,reference_action_fisher,0.6785714285714287,0.7857142857142857,0.0,0.5,0.05230626959848525,0.05117525147673191,0.0,-0.22619047619047605,0.3214285714285713,,H1
history,"{""history_id"": ""H2""}",,fisher_updated_only,0.8690476190476191,0.875,1.0,0.75,0.0,0.15327907868103458,0.15476190476190466,0.0,0.13095238095238093,,H2
history,"{""history_id"": ""H2""}",,full_state_local,1.0,1.0,1.0,1.0,0.0,0.1757814346544008,0.2857142857142856,0.13095238095238093,0.0,,H2
history,"{""history_id"": ""H2""}",,gradient_fisher_updated,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.23710626052612618,0.22619047619047616,0.07142857142857151,0.05952380952380942,,H2
history,"{""history_id"": ""H2""}",,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.23744227762258385,0.2857142857142856,0.13095238095238093,0.0,,H2
history,"{""history_id"": ""H2""}",,gradient_updated_only,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.2615229905235596,0.22619047619047616,0.07142857142857151,0.05952380952380942,,H2
history,"{""history_id"": ""H2""}",,jacobian_fisher_updated,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.16604567742225546,0.2142857142857143,0.059523809523809645,0.07142857142857129,,H2
history,"{""history_id"": ""H2""}",,jacobian_updated_only,0.9285714285714287,0.9285714285714286,1.0,1.0,0.0,0.18889462287383388,0.2142857142857143,0.059523809523809645,0.07142857142857129,,H2
history,"{""history_id"": ""H2""}",,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.22192521686734107,0.2857142857142856,0.13095238095238093,0.0,,H2
history,"{""history_id"": ""H2""}",,p1_reference_state_fisher,0.8690476190476191,0.875,1.0,0.5,0.0,0.15476665103745174,0.15476190476190466,0.0,0.13095238095238093,,H2
history,"{""history_id"": ""H2""}",,reference_action_fisher,0.7142857142857144,0.7857142857142857,0.0,0.5,0.039379301759191444,0.055113544721963156,0.0,-0.15476190476190466,0.2857142857142856,,H2
history,"{""history_id"": ""H3""}",,fisher_updated_only,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.363143151993997,0.1071428571428571,0.0,0.05952380952380942,,H3
history,"{""history_id"": ""H3""}",,full_state_local,1.0,1.0,1.0,1.0,0.0,0.2650525048789404,0.16666666666666652,0.05952380952380942,0.0,,H3
history,"{""history_id"": ""H3""}",,gradient_fisher_updated,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.3463488868089719,0.1428571428571428,0.0357142857142857,0.023809523809523725,,H3
history,"{""history_id"": ""H3""}",,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.35584137898125856,0.16666666666666652,0.05952380952380942,0.0,,H3
history,"{""history_id"": ""H3""}",,gradient_updated_only,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.34781326775692395,0.1428571428571428,0.0357142857142857,0.023809523809523725,,H3
history,"{""history_id"": ""H3""}",,jacobian_fisher_updated,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.3437759474841343,0.1428571428571428,0.0357142857142857,0.023809523809523725,,H3
history,"{""history_id"": ""H3""}",,jacobian_updated_only,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.40387720260049953,0.1428571428571428,0.0357142857142857,0.023809523809523725,,H3
history,"{""history_id"": ""H3""}",,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.35707797873650565,0.16666666666666652,0.05952380952380942,0.0,,H3
history,"{""history_id"": ""H3""}",,p1_reference_state_fisher,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.3976865410242444,0.1071428571428571,0.0,0.05952380952380942,,H3
history,"{""history_id"": ""H3""}",,reference_action_fisher,0.8333333333333335,0.8571428571428571,0.0,0.5,0.018914853745043793,0.15497885385886873,0.0,-0.1071428571428571,0.16666666666666652,,H3
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",gov_report,fisher_updated_only,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.918788415616791,-0.05952380952380942,0.0,0.05952380952380942,0.0,
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",gov_report,full_state_local,1.0,1.0,1.0,1.0,0.0,0.8694967582457835,0.0,0.05952380952380942,0.0,0.0,
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",gov_report,gradient_fisher_updated,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.9047389527752564,-0.05952380952380942,0.0,0.05952380952380942,0.0,
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",gov_report,gradient_jacobian_updated,1.0,1.0,1.0,1.0,0.0,0.8656474242191263,0.0,0.05952380952380942,0.0,0.0,
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",gov_report,gradient_updated_only,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.8978346783652861,-0.05952380952380942,0.0,0.05952380952380942,0.0,
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",gov_report,jacobian_fisher_updated,0.9642857142857144,0.9642857142857143,1.0,1.0,0.0,0.8610649843527002,-0.03571428571428559,0.023809523809523836,0.03571428571428559,0.0,
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",gov_report,jacobian_updated_only,0.9642857142857144,0.9642857142857143,1.0,1.0,0.0,0.8580542224971943,-0.03571428571428559,0.023809523809523836,0.03571428571428559,0.0,
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",gov_report,nonlinear_direction_quadratic,1.0,1.0,1.0,1.0,0.0,0.8223332547887727,0.0,0.05952380952380942,0.0,0.0,
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",gov_report,p1_reference_state_fisher,0.9404761904761906,0.9285714285714286,1.0,1.0,0.0,0.9120751924766124,-0.05952380952380942,0.0,0.05952380952380942,0.0,
task_layer,"{""layer"": ""0"", ""task"": ""gov_report""}",gov_report,reference_action_fisher,1.0,1.0,1.0,1.0,0.0,0.5100659277450618,0.0,0.05952380952380942,0.0,0.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",gov_report,fisher_updated_only,0.14285714285714288,0.5535714285714286,1.0,0.5,0.0,0.2717938998152424,-0.035714285714285726,0.16666666666666669,0.23809523809523817,14.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",gov_report,full_state_local,0.38095238095238104,0.6785714285714286,1.0,0.5,0.0,0.1767595795684785,0.20238095238095244,0.4047619047619049,0.0,14.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",gov_report,gradient_fisher_updated,0.3571428571428572,0.6785714285714286,1.0,0.5,0.0,0.31145358832905423,0.1785714285714286,0.38095238095238104,0.023809523809523836,14.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",gov_report,gradient_jacobian_updated,0.6666666666666667,0.7678571428571428,0.0,0.5,0.026863127530924583,0.4791709130194868,0.48809523809523814,0.6904761904761906,-0.2857142857142857,14.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",gov_report,gradient_updated_only,0.3571428571428572,0.6785714285714286,1.0,0.5,0.0,0.3452283025839929,0.1785714285714286,0.38095238095238104,0.023809523809523836,14.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",gov_report,jacobian_fisher_updated,0.09523809523809526,0.5714285714285714,1.0,0.5,0.0,0.2000870357095805,-0.08333333333333334,0.11904761904761907,0.2857142857142858,14.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",gov_report,jacobian_updated_only,0.33333333333333337,0.6607142857142857,0.0,0.5,0.021643633914886884,0.42051389088031127,0.15476190476190477,0.3571428571428572,0.04761904761904767,14.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",gov_report,nonlinear_direction_quadratic,0.9761904761904763,0.9642857142857143,1.0,1.0,0.0,0.29633422278090593,0.7976190476190477,1.0,-0.5952380952380952,14.0,
task_layer,"{""layer"": ""14"", ""task"": ""gov_report""}",gov_report,p1_reference_state_fisher,-0.023809523809523815,0.5178571428571428,1.0,0.5,0.0,0.3024505374324303,-0.2023809523809524,0.0,0.4047619047619049,14.0,
