stage,score,stratum_type,stratum,sequence_count,spearman,spearman_bootstrap_ci_low,spearman_bootstrap_ci_high,pairwise_accuracy,top1_accuracy,positive_sequence_fraction,normalized_regret,median_exact_range
formal,relative_penultimate_path_k1_risk,overall,all,8,0.8005952380952381,0.6547619047619049,0.9166666666666667,0.8616071428571428,0.25,1.0,0.07099542247195686,7.715681922956213e-06
formal,relative_penultimate_path_k1_risk,model,llama32_1b,4,0.7619047619047621,0.5714285714285715,0.9523809523809524,0.8303571428571429,0.25,1.0,0.10573807167464261,1.7505494879836128e-06
formal,relative_penultimate_path_k1_risk,model,qwen25_05b,4,0.8392857142857144,0.6130952380952381,0.9642857142857144,0.8928571428571428,0.25,1.0,0.036252773269271135,5.4373693013069134e-05
formal,relative_penultimate_path_k1_risk,task,qmsum,4,0.7440476190476192,0.5476190476190477,0.9404761904761906,0.8392857142857143,0.0,1.0,0.1311052858669825,7.3299627944123454e-06
formal,relative_penultimate_path_k1_risk,task,vt,4,0.8571428571428572,0.6488095238095238,0.9702380952380953,0.8839285714285714,0.5,1.0,0.010885559076931225,4.87942797066404e-05
formal,relative_penultimate_path_k1_risk,model_task,llama32_1b|qmsum,2,0.773809523809524,0.5952380952380953,0.9523809523809524,0.8392857142857143,0.0,1.0,0.19394442448173227,0.00011691507321760528
formal,relative_penultimate_path_k1_risk,model_task,llama32_1b|vt,2,0.75,0.5476190476190477,0.9523809523809524,0.8214285714285714,0.5,1.0,0.017531718867552937,1.0695428468688719e-06
formal,relative_penultimate_path_k1_risk,model_task,qwen25_05b|qmsum,2,0.7142857142857144,0.5000000000000001,0.9285714285714287,0.8392857142857143,0.0,1.0,0.06826614725223276,6.649317704416717e-06
formal,relative_penultimate_path_k1_risk,model_task,qwen25_05b|vt,2,0.9642857142857144,0.9523809523809524,0.9761904761904763,0.9464285714285714,0.5,1.0,0.004239399286309513,0.00010596327713094372
replication,action_only_risk,overall,all,8,0.38095238095238093,0.15773809523809526,0.6160714285714286,0.6517857142857142,0.0,0.875,0.5420549805322974,5.539638227390485e-07
replication,action_only_risk,model,llama32_1b,4,0.5595238095238095,0.33333333333333337,0.7857142857142859,0.7053571428571428,0.0,1.0,0.4214783299321271,9.800244191845184e-07
replication,action_only_risk,model,qwen25_05b,4,0.20238095238095238,-0.01190476190476191,0.5595238095238095,0.5982142857142857,0.0,0.75,0.6626316311324676,5.539638227390485e-07
replication,action_only_risk,task,qmsum,4,0.5178571428571429,0.255952380952381,0.773809523809524,0.6875,0.0,1.0,0.27404501089098743,1.569488486524166e-06
replication,action_only_risk,task,vt,4,0.2440476190476191,-0.01190476190476191,0.5773809523809526,0.6160714285714286,0.0,0.75,0.8100649501736072,2.9488761749625183e-07
replication,action_only_risk,model_task,llama32_1b|qmsum,2,0.6190476190476191,0.4285714285714286,0.8095238095238096,0.6964285714285714,0.0,1.0,0.2228267595170396,5.390269358788907e-06
replication,action_only_risk,model_task,llama32_1b|vt,2,0.5000000000000001,0.2380952380952381,0.7619047619047621,0.7142857142857143,0.0,1.0,0.6201299003472146,9.800244191845184e-07
replication,action_only_risk,model_task,qwen25_05b|qmsum,2,0.4166666666666667,0.09523809523809526,0.7380952380952381,0.6785714285714286,0.0,1.0,0.3252632622649353,1.569488486524166e-06
replication,action_only_risk,model_task,qwen25_05b|vt,2,-0.011904761904761908,-0.04761904761904763,0.023809523809523815,0.5178571428571428,0.0,0.5,1.0,2.067521443971813e-07
replication,dense_all_layer_mechanistic_risk,overall,all,8,0.9940476190476191,0.9851190476190477,1.0,0.9910714285714286,1.0,1.0,0.0,5.539638227390485e-07
replication,dense_all_layer_mechanistic_risk,model,llama32_1b,4,0.9940476190476191,0.9821428571428572,1.0,0.9910714285714286,1.0,1.0,0.0,9.800244191845184e-07
replication,dense_all_layer_mechanistic_risk,model,qwen25_05b,4,0.9940476190476191,0.9821428571428572,1.0,0.9910714285714286,1.0,1.0,0.0,5.539638227390485e-07
replication,dense_all_layer_mechanistic_risk,task,qmsum,4,0.9940476190476191,0.9821428571428572,1.0,0.9910714285714286,1.0,1.0,0.0,1.569488486524166e-06
replication,dense_all_layer_mechanistic_risk,task,vt,4,0.9940476190476191,0.9821428571428572,1.0,0.9910714285714286,1.0,1.0,0.0,2.9488761749625183e-07
replication,dense_all_layer_mechanistic_risk,model_task,llama32_1b|qmsum,2,0.9880952380952381,0.9761904761904763,1.0,0.9821428571428572,1.0,1.0,0.0,5.390269358788907e-06
replication,dense_all_layer_mechanistic_risk,model_task,llama32_1b|vt,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.800244191845184e-07
replication,dense_all_layer_mechanistic_risk,model_task,qwen25_05b|qmsum,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.569488486524166e-06
replication,dense_all_layer_mechanistic_risk,model_task,qwen25_05b|vt,2,0.9880952380952381,0.9761904761904763,1.0,0.9821428571428572,1.0,1.0,0.0,2.067521443971813e-07
replication,relative_penultimate_exact_map_risk,overall,all,8,0.9196428571428572,0.8482142857142858,0.9761904761904763,0.9330357142857142,0.75,1.0,0.019751817026560828,5.539638227390485e-07
replication,relative_penultimate_exact_map_risk,model,llama32_1b,4,0.886904761904762,0.7857142857142858,0.9880952380952381,0.9107142857142856,0.75,1.0,0.038967393322415264,9.800244191845184e-07
replication,relative_penultimate_exact_map_risk,model,qwen25_05b,4,0.9523809523809524,0.8750000000000001,1.0,0.9553571428571429,0.75,1.0,0.0005362407307063948,5.539638227390485e-07
replication,relative_penultimate_exact_map_risk,task,qmsum,4,0.9523809523809524,0.8750000000000001,1.0,0.9553571428571428,1.0,1.0,0.0,1.569488486524166e-06
replication,relative_penultimate_exact_map_risk,task,vt,4,0.886904761904762,0.7857142857142858,0.9880952380952381,0.9107142857142857,0.5,1.0,0.039503634053121656,2.9488761749625183e-07
replication,relative_penultimate_exact_map_risk,model_task,llama32_1b|qmsum,2,0.9047619047619049,0.8333333333333335,0.9761904761904763,0.9107142857142857,1.0,1.0,0.0,5.390269358788907e-06
