sample_id,task,anchor,horizon_offset,attention_mean_w1_shared,blend_attention_contribution_25_w4_shared,baseline_tail,primary_tail,exact_kl_reduction,tail_category,large_loss_transition
synthetic_niah_36,niah_single_1,16,8,0.0012735691852867603,0.0010246727615594864,False,False,0.00024889642372727394,non_tail,unchanged
gov_report:41,gov_report,16,13,0.0034905157517641783,0.003230853471904993,False,False,0.0002596622798591852,non_tail,unchanged
gov_report:36,gov_report,16,12,0.001603478449396789,0.0013431862462311983,False,False,0.00026029220316559076,non_tail,unchanged
synthetic_niah_37,niah_single_1,16,12,0.0014095798833295703,0.0011171370279043913,False,False,0.000292442855425179,non_tail,unchanged
synthetic_niah_41,niah_single_1,16,16,0.046268340200185776,0.04597536101937294,False,False,0.0002929791808128357,non_tail,unchanged
synthetic_niah_39,niah_single_1,16,15,0.022261489182710648,0.021965324878692627,False,False,0.00029616430401802063,non_tail,unchanged
gov_report:41,gov_report,16,4,0.0018818939570337534,0.0015837561804801226,False,False,0.00029813777655363083,non_tail,unchanged
synthetic_niah_38,niah_single_1,32,7,0.0430564358830452,0.042755551636219025,False,False,0.0003008842468261719,non_tail,unchanged
gov_report:41,gov_report,16,2,0.0007877384778112173,0.00046478165313601494,False,False,0.00032295682467520237,non_tail,unchanged
synthetic_niah_38,niah_single_1,16,7,0.0011028352892026305,0.0007760192966088653,False,False,0.00032681599259376526,non_tail,unchanged
gov_report:40,gov_report,32,5,0.005276685114949942,0.004946757573634386,False,False,0.00032992754131555557,non_tail,unchanged
gov_report:36,gov_report,16,6,0.0052459873259067535,0.004913143813610077,False,False,0.00033284351229667664,non_tail,unchanged
gov_report:37,gov_report,48,9,0.0009139249450527132,0.0005692339036613703,False,False,0.0003446910413913429,non_tail,unchanged
synthetic_niah_41,niah_single_1,16,8,0.0021718053612858057,0.0018064313335344195,False,False,0.00036537402775138617,non_tail,unchanged
synthetic_niah_37,niah_single_1,16,7,0.0030858407262712717,0.0027129228692501783,False,False,0.00037291785702109337,non_tail,unchanged
gov_report:36,gov_report,16,5,0.001111780758947134,0.0007328573265112936,False,False,0.00037892343243584037,non_tail,unchanged
gov_report:39,gov_report,32,4,0.005115988198667765,0.004714583046734333,False,False,0.0004014051519334316,non_tail,unchanged
gov_report:37,gov_report,48,5,0.002408096333965659,0.0020018089562654495,False,False,0.0004062873777002096,non_tail,unchanged
gov_report:41,gov_report,16,1,0.0031108674593269825,0.0026573864743113518,False,False,0.0004534809850156307,non_tail,unchanged
synthetic_niah_36,niah_single_1,48,14,0.034906066954135895,0.03442420810461044,False,False,0.00048185884952545166,non_tail,unchanged
synthetic_niah_36,niah_single_1,32,11,0.001280985539779067,0.0007965945987962186,False,False,0.0004843909409828484,non_tail,unchanged
gov_report:39,gov_report,32,12,0.0018304173136129975,0.0013298585545271635,False,False,0.000500558759085834,non_tail,unchanged
synthetic_niah_39,niah_single_1,16,5,0.0009792572818696499,0.0004785581841133535,False,False,0.0005006990977562964,non_tail,unchanged
synthetic_niah_36,niah_single_1,16,6,0.0028861770406365395,0.002372139133512974,False,False,0.0005140379071235657,non_tail,unchanged
gov_report:38,gov_report,48,8,0.0035779615864157677,0.0030560949817299843,False,False,0.0005218666046857834,non_tail,unchanged
synthetic_niah_37,niah_single_1,16,9,0.0011682158801704645,0.0005270126857794821,False,False,0.0006412031943909824,non_tail,unchanged
synthetic_niah_40,niah_single_1,16,8,0.0033417472150176764,0.0026823573280125856,False,False,0.0006593898870050907,non_tail,unchanged
synthetic_niah_41,niah_single_1,16,13,0.02940705418586731,0.028731390833854675,False,False,0.0006756633520126343,non_tail,unchanged
gov_report:37,gov_report,16,1,0.002113349735736847,0.0014097205130383372,False,False,0.0007036292226985097,non_tail,unchanged
synthetic_niah_39,niah_single_1,48,16,0.003507171291857958,0.0028003391344100237,False,False,0.0007068321574479342,non_tail,unchanged
gov_report:37,gov_report,32,1,0.002219574525952339,0.0014883644180372357,False,False,0.0007312101079151034,non_tail,unchanged
synthetic_niah_37,niah_single_1,48,12,0.002224560361355543,0.001466546324081719,False,False,0.0007580140372738242,non_tail,unchanged
synthetic_niah_39,niah_single_1,48,4,0.0054299249313771725,0.004660886246711016,False,False,0.0007690386846661568,non_tail,unchanged
synthetic_niah_39,niah_single_1,32,2,0.006156090181320906,0.005378399975597858,False,False,0.0007776902057230473,non_tail,unchanged
gov_report:40,gov_report,16,7,0.004406948108226061,0.0036198149900883436,False,False,0.0007871331181377172,non_tail,unchanged
gov_report:40,gov_report,16,2,0.0018098974833264947,0.0009921691380441189,False,False,0.0008177283452823758,non_tail,unchanged
synthetic_niah_39,niah_single_1,32,5,0.008011129684746265,0.007176273036748171,False,False,0.0008348566479980946,non_tail,unchanged
gov_report:41,gov_report,16,14,0.00867580808699131,0.007832017727196217,False,False,0.0008437903597950935,non_tail,unchanged
synthetic_niah_41,niah_single_1,48,8,0.4785885512828827,0.4777405560016632,False,False,0.0008479952812194824,non_tail,unchanged
gov_report:40,gov_report,16,1,0.0029936213977634907,0.002114978153258562,False,False,0.0008786432445049286,non_tail,unchanged
synthetic_niah_38,niah_single_1,48,6,0.017018413171172142,0.01611294411122799,False,False,0.0009054690599441528,non_tail,unchanged
gov_report:36,gov_report,32,7,0.09072022140026093,0.08979597687721252,False,False,0.0009242445230484009,non_tail,unchanged
gov_report:38,gov_report,16,7,0.005255032330751419,0.004252952989190817,False,False,0.0010020793415606022,non_tail,unchanged
gov_report:37,gov_report,32,13,0.006465451326221228,0.005306609906256199,False,False,0.0011588414199650288,non_tail,unchanged
synthetic_niah_36,niah_single_1,48,8,0.38218411803245544,0.3808732330799103,False,False,0.001310884952545166,non_tail,unchanged
synthetic_niah_40,niah_single_1,48,16,0.020615724846720695,0.019279491156339645,False,False,0.0013362336903810501,non_tail,unchanged
synthetic_niah_36,niah_single_1,16,16,0.04391587898135185,0.042578812688589096,False,False,0.0013370662927627563,non_tail,unchanged
synthetic_niah_39,niah_single_1,32,3,0.029084043577313423,0.027660060673952103,False,False,0.0014239829033613205,non_tail,unchanged
synthetic_niah_40,niah_single_1,16,16,0.019943194463849068,0.0185057632625103,False,False,0.001437431201338768,non_tail,unchanged
